10.1.2.103 - - [29/May/2015:17:08:10 -0300] "OPTIONS / HTTP/1.1" 200 - "-" "DavClnt"
10.1.2.103 - - [29/May/2015:17:08:13 -0300] "OPTIONS / HTTP/1.1" 200 - "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.1.2.103 - - [29/May/2015:17:08:13 -0300] "PROPFIND / HTTP/1.1" 501 1199 "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.1.2.103 - - [29/May/2015:17:08:13 -0300] "PROPFIND / HTTP/1.1" 501 1199 "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET / HTTP/1.1" 200 4018 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /css/2-col-portfolio.css HTTP/1.1" 200 194 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /js/jquery.js HTTP/1.1" 200 92633 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /js/bootstrap.js HTTP/1.1" 200 58458 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /css/bootstrap.css HTTP/1.1" 200 119988 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /painel_quilombola.png HTTP/1.1" 200 133898 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /assinaturas.png HTTP/1.1" 200 44046 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /painel_juventude.png HTTP/1.1" 200 109246 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /mapa_juventude.png HTTP/1.1" 200 389134 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /mapa_quilombola.png HTTP/1.1" 200 322983 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /fundo.jpg HTTP/1.1" 200 296498 "http://10.210.5.50/css/bootstrap.css" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:29 -0300] "GET /favicon.ico HTTP/1.1" 200 1150 "http://10.210.5.50/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"
10.1.2.103 - - [29/May/2015:17:09:31 -0300] "OPTIONS / HTTP/1.1" 200 - "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.1.2.103 - - [29/May/2015:17:09:31 -0300] "PROPFIND / HTTP/1.1" 501 1199 "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.1.2.103 - - [29/May/2015:17:09:31 -0300] "PROPFIND / HTTP/1.1" 501 1199 "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.1.2.103 - - [29/May/2015:17:09:31 -0300] "PROPFIND / HTTP/1.1" 501 1199 "-" "Microsoft-WebDAV-MiniRedir/6.1.7601"
10.210.8.56 - - [29/May/2015:17:19:01 -0300] "GET / HTTP/1.1" 200 4018 "-" "Mozilla/5.0"
10.210.8.56 - - [29/May/2015:17:19:02 -0300] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 1060 "-" "-"
10.210.8.56 - - [29/May/2015:17:19:02 -0300] "GET / HTTP/1.0" 200 4018 "-" "-"
