UF;População;Mulheres;Homens
Acre;733559;365235;368324
Alagoas;3120494;1608727;1511767
Amapá;669526;334391;335135
Amazonas;3483985;1730806;1753179
Bahia;14016906;7138640;6878266
Ceará;8452381;4332293;4120088
Distrito Federal;2570160;1341280;1228880
Espírito Santo;3514952;1783734;1731218
Goiás;6003788;3022161;2981627
Maranhão;6574789;3313274;3261515
Mato Grosso;3035122;1485586;1549536
Mato Grosso do Sul;2449024;1229096;1219928
Minas Gerais;19597330;9955453;9641877
Pará;7581051;3759214;3821837
Paraíba;3766528;1942149;1824379
Paraná;10444526;5313532;5130994
Pernambuco;8796448;4565767;4230681
Piauí;3118360;1589938;1528422
Rio de Janeiro;15989929;8364250;7625679
Rio Grande do Norte;3168027;1619140;1548887
Rio Grande do Sul;10693929;5488872;5205057
Rondônia;1562409;767252;795157
Roraima;450479;221620;228859
Santa Catarina;6248436;3148076;3100360
São Paulo;41262199;21184326;20077873
Sergipe;2068017;1062976;1005041
Tocantins;1383445;681021;702424
Todas as UFs;190755799;97348809;93406990
