UF;Raça;Candidatas;Eleitas
Acre;Preta;1;0
Acre;Branca;6;1
Acre;Amarela;1;0
Acre;Parda;14;0
Alagoas;Preta;2;0
Alagoas;Branca;10;0
Alagoas;Parda;18;0
Amapá;Indígena;0;0
Amapá;Preta;4;0
Amapá;Parda;21;2
Amapá;Branca;12;1
Amazonas;Preta;2;0
Amazonas;Parda;17;0
Amazonas;Indígena;0;0
Amazonas;Branca;7;1
Bahia;Indígena;1;0
Bahia;Preta;21;1
Bahia;Parda;28;2
Bahia;Amarela;1;0
Bahia;Branca;25;0
Ceará;Branca;28;2
Ceará;Preta;3;0
Ceará;Amarela;0;0
Ceará;Parda;29;0
Distrito Federal;Branca;22;1
Distrito Federal;Amarela;1;0
Distrito Federal;Parda;15;0
Distrito Federal;Preta;3;0
Distrito Federal;Indígena;0;0
Espírito Santo;Branca;28;1
Espírito Santo;Preta;5;0
Espírito Santo;Indígena;0;0
Espírito Santo;Parda;13;0
Goiás;Parda;6;0
Goiás;Preta;1;0
Goiás;Branca;18;2
Goiás;Indígena;1;0
Maranhão;Branca;26;1
Maranhão;Amarela;0;0
Maranhão;Parda;21;0
Maranhão;Preta;11;0
Mato Grosso;Preta;4;0
Mato Grosso;Parda;10;0
Mato Grosso;Indígena;1;0
Mato Grosso;Branca;10;0
Mato Grosso do Sul;Indígena;1;0
Mato Grosso do Sul;Branca;23;2
Mato Grosso do Sul;Preta;4;0
Mato Grosso do Sul;Parda;14;0
Minas Gerais;Amarela;5;0
Minas Gerais;Branca;102;4
Minas Gerais;Parda;56;1
Minas Gerais;Preta;24;0
Pará;Indígena;0;0
Pará;Parda;33;0
Pará;Amarela;0;0
Pará;Branca;13;3
Pará;Preta;10;0
Paraíba;Preta;1;0
Paraíba;Parda;11;0
Paraíba;Branca;17;0
Paraná;Preta;7;0
Paraná;Branca;67;2
Paraná;Parda;4;0
Paraná;Indígena;2;0
Pernambuco;Preta;6;0
Pernambuco;Amarela;0;0
Pernambuco;Indígena;1;0
Pernambuco;Branca;15;0
Pernambuco;Parda;20;1
Piauí;Preta;2;0
Piauí;Branca;6;1
Piauí;Indígena;0;0
Piauí;Parda;20;1
Piauí;Amarela;1;0
Rio de Janeiro;Branca;122;4
Rio de Janeiro;Preta;27;2
Rio de Janeiro;Indígena;0;0
Rio de Janeiro;Parda;84;0
Rio Grande do Norte;Indígena;0;0
Rio Grande do Norte;Parda;8;1
Rio Grande do Norte;Preta;3;0
Rio Grande do Norte;Branca;16;1
Rio Grande do Sul;Branca;88;1
Rio Grande do Sul;Parda;4;0
Rio Grande do Sul;Indígena;1;0
Rio Grande do Sul;Preta;4;0
Rondônia;Preta;1;0
Rondônia;Branca;15;2
Rondônia;Parda;10;0
Roraima;Indígena;0;0
Roraima;Parda;17;0
Roraima;Branca;9;2
Roraima;Preta;2;0
Santa Catarina;Branca;34;2
Santa Catarina;Parda;3;0
Santa Catarina;Preta;3;0
São Paulo;Preta;53;0
São Paulo;Branca;242;6
São Paulo;Parda;54;0
São Paulo;Amarela;2;0
São Paulo;Indígena;1;0
Sergipe;Amarela;0;0
Sergipe;Branca;13;1
Sergipe;Parda;11;0
Sergipe;Preta;2;0
Tocantins;Parda;4;0
Tocantins;Preta;2;0
Tocantins;Branca;11;4
Tocantins;Amarela;0;0
Todas as UFs;Parda;545;8
Todas as UFs;Preta;208;3
Todas as UFs;Amarela;11;0
Todas as UFs;Indígena;9;0
Todas as UFs;Branca;985;45
