Ano;UF;Homens;Mulheres
1998;Acre;88.89;11.11
1998;Alagoas;80.00;20.00
1998;Amapá;88.89;11.11
1998;Amazonas;88.89;11.11
1998;Bahia;100.00;0.00
1998;Ceará;100.00;0.00
1998;Distrito Federal;88.89;11.11
1998;Espírito Santo;90.91;9.09
1998;Goiás;83.33;16.67
1998;Maranhão;94.74;5.26
1998;Mato Grosso;77.78;22.22
1998;Mato Grosso do Sul;88.89;11.11
1998;Minas Gerais;94.44;5.56
1998;Pará;94.44;5.56
1998;Paraíba;100.00;0.00
1998;Paraná;100.00;0.00
1998;Pernambuco;100.00;0.00
1998;Piauí;100.00;0.00
1998;Rio de Janeiro;91.49;8.51
1998;Rio Grande do Norte;88.89;11.11
1998;Rio Grande do Sul;96.88;3.13
1998;Rondônia;88.89;11.11
1998;Roraima;100.00;0.00
1998;Santa Catarina;94.12;5.88
1998;São Paulo;94.37;5.63
1998;Sergipe;80.00;20.00
1998;Tocantins;100.00;0.00
1998;Todas as UFs;94.26;5.74
2002;Acre;80.00;20.00
2002;Alagoas;100.00;0.00
2002;Amapá;90.00;10.00
2002;Amazonas;90.00;10.00
2002;Bahia;95.12;4.88
2002;Ceará;95.83;4.17
2002;Distrito Federal;90.00;10.00
2002;Espírito Santo;83.33;16.67
2002;Goiás;84.21;15.79
2002;Maranhão;85.00;15.00
2002;Mato Grosso;70.00;30.00
2002;Mato Grosso do Sul;100.00;0.00
2002;Minas Gerais;98.18;1.82
2002;Pará;89.47;10.53
2002;Paraíba;92.86;7.14
2002;Paraná;96.88;3.13
2002;Pernambuco;100.00;0.00
2002;Piauí;91.67;8.33
2002;Rio de Janeiro;87.50;12.50
2002;Rio Grande do Norte;80.00;20.00
2002;Rio Grande do Sul;87.88;12.12
2002;Rondônia;80.00;20.00
2002;Roraima;80.00;20.00
2002;Santa Catarina;88.89;11.11
2002;São Paulo;91.67;8.33
2002;Sergipe;100.00;0.00
2002;Tocantins;90.00;10.00
2002;Todas as UFs;91.18;8.82
2006;Acre;88.89;11.11
2006;Alagoas;100.00;0.00
2006;Amapá;55.56;44.44
2006;Amazonas;77.78;22.22
2006;Bahia;90.00;10.00
2006;Ceará;95.65;4.35
2006;Distrito Federal;100.00;0.00
2006;Espírito Santo;63.64;36.36
2006;Goiás;88.89;11.11
2006;Maranhão;94.74;5.26
2006;Mato Grosso;88.89;11.11
2006;Mato Grosso do Sul;88.89;11.11
2006;Minas Gerais;94.44;5.56
2006;Pará;88.89;11.11
2006;Paraíba;100.00;0.00
2006;Paraná;100.00;0.00
2006;Pernambuco;96.15;3.85
2006;Piauí;100.00;0.00
2006;Rio de Janeiro;100.00;0.00
2006;Rio Grande do Norte;66.67;33.33
2006;Rio Grande do Sul;90.63;9.38
2006;Rondônia;88.89;11.11
2006;Roraima;77.78;22.22
2006;Santa Catarina;94.12;5.88
2006;São Paulo;95.77;4.23
2006;Sergipe;88.89;11.11
2006;Tocantins;77.78;22.22
2006;Todas as UFs;90.93;9.07
2010;Acre;80.00;20.00
2010;Alagoas;81.82;18.18
2010;Amapá;70.00;30.00
2010;Amazonas;80.00;20.00
2010;Bahia;95.12;4.88
2010;Ceará;95.83;4.17
2010;Distrito Federal;80.00;20.00
2010;Espírito Santo;66.67;33.33
2010;Goiás;84.21;15.79
2010;Maranhão;95.00;5.00
2010;Mato Grosso;100.00;0.00
2010;Mato Grosso do Sul;100.00;0.00
2010;Minas Gerais;98.18;1.82
2010;Pará;94.74;5.26
2010;Paraíba;92.86;7.14
2010;Paraná;90.63;9.38
2010;Pernambuco;92.59;7.41
2010;Piauí;91.67;8.33
2010;Rio de Janeiro;91.67;8.33
2010;Rio Grande do Norte;80.00;20.00
2010;Rio Grande do Sul;90.91;9.09
2010;Rondônia;90.00;10.00
2010;Roraima;80.00;20.00
2010;Santa Catarina;94.44;5.56
2010;São Paulo;90.28;9.72
2010;Sergipe;100.00;0.00
2010;Tocantins;90.00;10.00
2010;Todas as UFs;90.83;9.17
2014;Acre;88.89;11.11
2014;Alagoas;100.00;0.00
2014;Amapá;66.67;33.33
2014;Amazonas;88.89;11.11
2014;Bahia;92.50;7.50
2014;Ceará;91.30;8.70
2014;Distrito Federal;88.89;11.11
2014;Espírito Santo;90.91;9.09
2014;Goiás;88.89;11.11
2014;Maranhão;94.74;5.26
2014;Mato Grosso;100.00;0.00
2014;Mato Grosso do Sul;77.78;22.22
2014;Minas Gerais;90.74;9.26
2014;Pará;83.33;16.67
2014;Paraíba;100.00;0.00
2014;Paraná;93.55;6.45
2014;Pernambuco;96.15;3.85
2014;Piauí;81.82;18.18
2014;Rio de Janeiro;87.23;12.77
2014;Rio Grande do Norte;77.78;22.22
2014;Rio Grande do Sul;96.88;3.13
2014;Rondônia;77.78;22.22
2014;Roraima;77.78;22.22
2014;Santa Catarina;88.24;11.76
2014;São Paulo;91.55;8.45
2014;Sergipe;88.89;11.11
2014;Tocantins;55.56;44.44
2014;Todas as UFs;89.63;10.37
