UF;"Raça/Cor";Mulheres
"Acre";"Branca";88000
"Acre";"Negra";261728
"Acre";"Outra";15507
"Alagoas";"Branca";511474
"Alagoas";"Negra";1069867
"Alagoas";"Outra";27386
"Amapá";"Branca";83633
"Amapá";"Negra";243385
"Amapá";"Outra";7373
"Amazonas";"Branca";382784
"Amazonas";"Negra";1249562
"Amazonas";"Outra";98460
"Bahia";"Branca";1599773
"Bahia";"Negra";5418001
"Bahia";"Outra";120866
"Ceará";"Branca";1415358
"Ceará";"Negra";2846830
"Ceará";"Outra";70105
"Distrito Federal";"Branca";575204
"Distrito Federal";"Negra";737095
"Distrito Federal";"Outra";28981
"Espírito Santo";"Branca";764807
"Espírito Santo";"Negra";1001710
"Espírito Santo";"Outra";17217
"Goiás";"Branca";1280056
"Goiás";"Negra";1682398
"Goiás";"Outra";59707
"Maranhão";"Branca";749945
"Maranhão";"Negra";2505863
"Maranhão";"Outra";57466
"Mato Grosso";"Branca";560950
"Mato Grosso";"Negra";883693
"Mato Grosso";"Outra";40943
"Mato Grosso do Sul";"Branca";589572
"Mato Grosso do Sul";"Negra";588056
"Mato Grosso do Sul";"Outra";51468
"Minas Gerais";"Branca";4570542
"Minas Gerais";"Negra";5264634
"Minas Gerais";"Outra";120277
"Pará";"Branca";842283
"Pará";"Negra";2859291
"Pará";"Outra";57640
"Paraíba";"Branca";789494
"Paraíba";"Negra";1115998
"Paraíba";"Outra";36657
"Paraná";"Branca";3780336
"Paraná";"Negra";1455490
"Paraná";"Outra";77706
"Pernambuco";"Branca";1711103
"Pernambuco";"Negra";2778748
"Pernambuco";"Outra";75916
"Piauí";"Branca";394419
"Piauí";"Negra";1156712
"Piauí";"Outra";38807
"Rio de Janeiro";"Branca";4050153
"Rio de Janeiro";"Negra";4234683
"Rio de Janeiro";"Outra";79414
"Rio Grande do Norte";"Branca";679237
"Rio Grande do Norte";"Negra";918810
"Rio Grande do Norte";"Outra";21093
"Rio Grande do Sul";"Branca";4598226
"Rio Grande do Sul";"Negra";855417
"Rio Grande do Sul";"Outra";35229
"Rondônia";"Branca";274142
"Rondônia";"Negra";474038
"Rondônia";"Outra";19072
"Roraima";"Branca";48680
"Roraima";"Negra";145904
"Roraima";"Outra";27036
"Santa Catarina";"Branca";2664374
"Santa Catarina";"Negra";462555
"Santa Catarina";"Outra";21147
"São Paulo";"Branca";13718031
"São Paulo";"Negra";7139520
"São Paulo";"Outra";326775
"Sergipe";"Branca";302068
"Sergipe";"Negra";742678
"Sergipe";"Outra";18230
"Tocantins";"Branca";169792
"Tocantins";"Negra";490264
"Tocantins";"Outra";20965
"Todas as UFs";"Branca";47194434
"Todas as UFs";"Negra";48582931
"Todas as UFs";"Outra";1571444
