"UF";População;Mulheres
"Acre";733559;365235
"Alagoas";3120494;1608727
"Amapá";669526;334391
"Amazonas";3483985;1730806
"Bahia";14016906;7138640
"Ceará";8452381;4332293
"Distrito Federal";2570160;1341280
"Espírito Santo";3514952;1783734
"Goiás";6003788;3022161
"Maranhão";6574789;3313274
"Mato Grosso";3035122;1485586
"Mato Grosso do Sul";2449024;1229096
"Minas Gerais";19597330;9955453
"Pará";7581051;3759214
"Paraíba";3766528;1942149
"Paraná";10444526;5313532
"Pernambuco";8796448;4565767
"Piauí";3118360;1589938
"Rio de Janeiro";15989929;8364250
"Rio Grande do Norte";3168027;1619140
"Rio Grande do Sul";10693929;5488872
"Rondônia";1562409;767252
"Roraima";450479;221620
"Santa Catarina";6248436;3148076
"São Paulo";41262199;21184326
"Sergipe";2068017;1062976
"Tocantins";1383445;681021
"Todas as UFs";190755799;97348809
