UF;Raça;Candidatas;Eleitas
Acre;Branca;31;1
Acre;Parda;105;2
Acre;Amarela;3;0
Acre;Preta;8;1
Alagoas;Preta;1;0
Alagoas;Branca;24;2
Alagoas;Parda;46;0
Amapá;Indígena;2;0
Amapá;Branca;33;2
Amapá;Preta;13;1
Amapá;Parda;57;5
Amazonas;Parda;95;1
Amazonas;Branca;44;0
Amazonas;Indígena;1;0
Amazonas;Preta;9;0
Bahia;Indígena;1;0
Bahia;Preta;38;0
Bahia;Branca;43;5
Bahia;Parda;65;2
Bahia;Amarela;0;0
Ceará;Amarela;1;0
Ceará;Branca;75;7
Ceará;Parda;79;0
Ceará;Preta;10;0
Distrito Federal;Parda;0;0
Distrito Federal;Branca;0;0
Distrito Federal;Indígena;0;0
Distrito Federal;Amarela;0;0
Distrito Federal;Preta;0;0
Espírito Santo;Parda;47;2
Espírito Santo;Branca;66;2
Espírito Santo;Indígena;1;0
Espírito Santo;Preta;15;0
Goiás;Branca;104;2
Goiás;Indígena;2;0
Goiás;Parda;71;2
Goiás;Preta;14;0
Maranhão;Preta;24;0
Maranhão;Amarela;1;0
Maranhão;Branca;52;4
Maranhão;Parda;68;2
Mato Grosso;Branca;26;1
Mato Grosso;Indígena;1;0
Mato Grosso;Parda;41;0
Mato Grosso;Preta;16;0
Mato Grosso do Sul;Parda;37;1
Mato Grosso do Sul;Preta;7;0
Mato Grosso do Sul;Branca;79;2
Mato Grosso do Sul;Indígena;0;0
Minas Gerais;Preta;27;0
Minas Gerais;Amarela;2;0
Minas Gerais;Branca;166;4
Minas Gerais;Parda;119;1
Pará;Branca;53;0
Pará;Parda;103;3
Pará;Amarela;2;0
Pará;Indígena;1;0
Pará;Preta;17;0
Paraíba;Parda;40;1
Paraíba;Preta;5;0
Paraíba;Branca;45;2
Paraná;Indígena;0;0
Paraná;Branca;178;2
Paraná;Preta;10;0
Paraná;Parda;13;1
Pernambuco;Parda;65;0
Pernambuco;Preta;9;0
Pernambuco;Amarela;2;0
Pernambuco;Branca;53;5
Pernambuco;Indígena;1;0
Piauí;Branca;22;3
Piauí;Indígena;0;0
Piauí;Amarela;2;0
Piauí;Parda;34;1
Piauí;Preta;8;0
Rio de Janeiro;Branca;257;4
Rio de Janeiro;Indígena;1;0
Rio de Janeiro;Preta;65;1
Rio de Janeiro;Parda;168;3
Rio Grande do Norte;Preta;4;0
Rio Grande do Norte;Parda;12;0
Rio Grande do Norte;Branca;61;2
Rio Grande do Norte;Indígena;1;0
Rio Grande do Sul;Parda;6;0
Rio Grande do Sul;Branca;178;7
Rio Grande do Sul;Preta;13;0
Rio Grande do Sul;Indígena;0;0
Rondônia;Branca;45;3
Rondônia;Parda;52;0
Rondônia;Preta;13;0
Roraima;Indígena;3;0
Roraima;Preta;5;1
Roraima;Parda;71;0
Roraima;Branca;43;2
Santa Catarina;Parda;6;0
Santa Catarina;Preta;5;0
Santa Catarina;Branca;103;4
São Paulo;Indígena;0;0
são Paulo;Amarela;1;0
São Paulo;Branca;368;9
São Paulo;Preta;51;2
São Paulo;Parda;84;0
Sergipe;Preta;1;0
Sergipe;Parda;24;1
Sergipe;Branca;24;3
Sergipe;Amarela;1;0
Tocantins;Preta;2;0
Tocantins;Amarela;1;0
Tocantins;Parda;36;1
Tocantins;Branca;23;2
Todas as UFs;Branca;2196;80
Todas as UFs;Preta;390;6
Todas as UFs;Parda;1544;29
Todas as UFs;Indígena;15;0
Todas as UFs;Amarela;16;0
