"UF";"Raça/Cor";"Mortalidade"
"AC";"Brancas";43
"AC";"Negras";185
"AC";"Outras";7
"AC";"Todas as raças";241
"AL";"Brancas";190
"AL";"Negras";858
"AL";"Outras";3
"AL";"Todas as raças";1194
"AM";"Brancas";205
"AM";"Negras";912
"AM";"Outras";67
"AM";"Todas as raças";1201
"AP";"Brancas";47
"AP";"Negras";143
"AP";"Outras";9
"AP";"Todas as raças";209
"BA";"Brancas";652
"BA";"Negras";3607
"BA";"Outras";20
"BA";"Todas as raças";4674
"CE";"Brancas";533
"CE";"Negras";1691
"CE";"Outras";6
"CE";"Todas as raças";2529
"DF";"Brancas";287
"DF";"Negras";480
"DF";"Outras";4
"DF";"Todas as raças";781
"ES";"Brancas";383
"ES";"Negras";740
"ES";"Outras";3
"ES";"Todas as raças";1274
"GO";"Brancas";777
"GO";"Negras";1451
"GO";"Outras";8
"GO";"Todas as raças";2334
"MA";"Brancas";380
"MA";"Negras";1572
"MA";"Outras";16
"MA";"Todas as raças";2019
"MG";"Brancas";2441
"MG";"Negras";3447
"MG";"Outras";32
"MG";"Todas as raças";6485
"MS";"Brancas";364
"MS";"Negras";489
"MS";"Outras";61
"MS";"Todas as raças";916
"MT";"Brancas";322
"MT";"Negras";808
"MT";"Outras";15
"MT";"Todas as raças";1162
"PA";"Brancas";327
"PA";"Negras";2037
"PA";"Outras";27
"PA";"Todas as raças";2424
"PB";"Brancas";271
"PB";"Negras";840
"PB";"Outras";5
"PB";"Todas as raças";1184
"PE";"Brancas";844
"PE";"Negras";2152
"PE";"Outras";13
"PE";"Todas as raças";3095
"PI";"Brancas";158
"PI";"Negras";780
"PI";"Outras";3
"PI";"Todas as raças";997
"PR";"Brancas";2575
"PR";"Negras";745
"PR";"Outras";19
"PR";"Todas as raças";3438
"RJ";"Brancas";2604
"RJ";"Negras";3779
"RJ";"Outras";14
"RJ";"Todas as raças";6478
"RN";"Brancas";306
"RN";"Negras";586
"RN";"Outras";1
"RN";"Todas as raças";978
"RO";"Brancas";180
"RO";"Negras";322
"RO";"Outras";3
"RO";"Todas as raças";515
"RR";"Brancas";22
"RR";"Negras";85
"RR";"Outras";22
"RR";"Todas as raças";138
"RS";"Brancas";2676
"RS";"Negras";531
"RS";"Outras";13
"RS";"Todas as raças";3341
"SC";"Brancas";1681
"SC";"Negras";206
"SC";"Outras";9
"SC";"Todas as raças";1929
"SE";"Brancas";172
"SE";"Negras";543
"SE";"Outras";4
"SE";"Todas as raças";745
"SP";"Brancas";8220
"SP";"Negras";4484
"SP";"Outras";70
"SP";"Todas as raças";13123
"TO";"Brancas";103
"TO";"Negras";344
"TO";"Outras";4
"TO";"Todas as raças";475
"Todas as UFs";"Brancas";26763
"Todas as UFs";"Negras";33817
"Todas as UFs";"Outras";458
"Todas as UFs";"Todas as raças";63879
