"Ano";"Sexo";"Demais causas definidas";"Doenças infecciosas e parasitárias";"Neoplasias";"Doenças do aparelho circulatório";"Doenças do aparelho respiratório";"Afecções originadas no período perinatal";"Causas externas"
"2009";"Homem";153476;27577;92515;167819;60350;14323;115165
"2009";"Mulher";131474;19426;79732;152234;54172;10956;23395
"2010";"Homem";158982;28366;96188;171263;63015;13372;118192
"2010";"Mulher";137489;20448;82792;155082;56088;10281;24957
"2011";"Homem";163776;28347;98444;175254;66443;13340;119947
"2011";"Mulher";141643;20816;85931;159923;60220;10144;25738
"2012";"Homem";161491;28389;101974;174428;66344;12864;125253
"2012";"Mulher";142687;21208;89596;158836;60838;10114;26606
"2013";"Homem";164354;29793;105211;178027;71816;12768;124699
"2013";"Mulher";144920;22251;91723;161601;65996;9898;26806
