"UF";"Raça/Cor";"Mulheres"
"Acre";"Outras";0
"Acre";"Branca";2519
"Acre";"Negra";2015
"Alagoas";"Branca";8975
"Alagoas";"Negra";8376
"Alagoas";"Outras";0
"Amapá";"Outras";0
"Amapá";"Negra";2322
"Amapá";"Branca";1290
"Amazonas";"Branca";11287
"Amazonas";"Negra";13174
"Amazonas";"Outras";0
"Bahia";"Negra";55400
"Bahia";"Outras";322
"Bahia";"Branca";40774
"Ceará";"Outras";339
"Ceará";"Negra";26042
"Ceará";"Branca";24504
"Distrito Federal";"Negra";17687
"Distrito Federal";"Outras";0
"Distrito Federal";"Branca";21952
"Espírito Santo";"Negra";13519
"Espírito Santo";"Branca";18808
"Espírito Santo";"Outras";1176
"Goiás";"Branca";35649
"Goiás";"Outras";0
"Goiás";"Negra";24060
"Maranhão";"Negra";10735
"Maranhão";"Branca";9196
"Maranhão";"Outras";0
"Mato Grosso";"Outras";856
"Mato Grosso";"Negra";17993
"Mato Grosso";"Branca";21418
"Mato Grosso do Sul";"Outras";843
"Mato Grosso do Sul";"Branca";19809
"Mato Grosso do Sul";"Negra";10540
"Minas Gerais";"Negra";59884
"Minas Gerais";"Branca";138957
"Minas Gerais";"Outras";406
"Pará";"Negra";18088
"Pará";"Branca";13866
"Pará";"Outras";699
"Paraíba";"Outras";0
"Paraíba";"Negra";8720
"Paraíba";"Branca";11210
"Paraná";"Outras";4466
"Paraná";"Negra";26061
"Paraná";"Branca";105332
"Pernambuco";"Negra";27418
"Pernambuco";"Branca";26400
"Pernambuco";"Outras";269
"Piauí";"Branca";7846
"Piauí";"Negra";8967
"Piauí";"Outras";0
"Rio de Janeiro";"Outras";648
"Rio de Janeiro";"Negra";33664
"Rio de Janeiro";"Branca";112030
"Rio Grande do Norte";"Negra";6748
"Rio Grande do Norte";"Outras";0
"Rio Grande do Norte";"Branca";10121
"Rio Grande do Sul";"Negra";10145
"Rio Grande do Sul";"Branca";126661
"Rio Grande do Sul";"Outras";249
"Rondônia";"Negra";9067
"Rondônia";"Branca";6802
"Rondônia";"Outras";503
"Roraima";"Outras";0
"Roraima";"Branca";2091
"Roraima";"Negra";2853
"Santa Catarina";"Negra";2782
"Santa Catarina";"Branca";90423
"Santa Catarina";"Outras";696
"São Paulo";"Outras";18019
"São Paulo";"Negra";82351
"São Paulo";"Branca";398222
"Sergipe";"Negra";6145
"Sergipe";"Outras";361
"Sergipe";"Branca";5060
"Tocantins";"Outras";0
"Tocantins";"Branca";5358
"Tocantins";"Negra";4336
"Todas as UFs";"Branca";1276560
"Todas as UFs";"Negra";509092
"Todas as UFs";"Outras";29852
