UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Acre;Branca;Todos as situações;Outros tipos;16295
Acre;Negra;Todos as situações;Outros tipos;72906
Acre;Outras;Todos as situações;Outros tipos;1512
Acre;Todas as raças;Rural;Outros tipos;73578
Acre;Todas as raças;Urbana;Outros tipos;17135
Acre;Todas as raças;Todos as situações;Unipessoal;9407
Acre;Todas as raças;Todos as situações;Casal com filhas/os;29734
Acre;Todas as raças;Todos as situações;Todos os tipos;90713
Acre;Todas as raças;Todos as situações;Casal sem filhas/os;7559
Acre;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;38638
Acre;Todas as raças;Todos as situações;Outros;5375
Alagoas;Branca;Todos as situações;Outros tipos;113687
Alagoas;Negra;Todos as situações;Outros tipos;335057
Alagoas;Outras;Todos as situações;Outros tipos;1795
Alagoas;Todas as raças;Rural;Outros tipos;335057
Alagoas;Todas as raças;Urbana;Outros tipos;115482
Alagoas;Todas as raças;Todos as situações;Outros;31113
Alagoas;Todas as raças;Todos as situações;Unipessoal;64621
Alagoas;Todas as raças;Todos as situações;Casal com filhas/os;127432
Alagoas;Todas as raças;Todos as situações;Todos os tipos;450539
Alagoas;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;178310
Alagoas;Todas as raças;Todos as situações;Casal sem filhas/os;49063
Amapá;Branca;Todos as situações;Outros tipos;21420
Amapá;Negra;Todos as situações;Outros tipos;77435
Amapá;Outras;Todos as situações;Outros tipos;516
Amapá;Todas as raças;Rural;Outros tipos;77693
Amapá;Todas as raças;Urbana;Outros tipos;21678
Amapá;Todas as raças;Todos as situações;Casal sem filhas/os;7226
Amapá;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;42330
Amapá;Todas as raças;Todos as situações;Casal com filhas/os;35619
Amapá;Todas as raças;Todos as situações;Todos os tipos;99371
Amapá;Todas as raças;Todos as situações;Unipessoal;8001
Amapá;Todas as raças;Todos as situações;Outros;6195
Amazonas;Branca;Todos as situações;Outros tipos;98757
Amazonas;Negra;Todos as situações;Outros tipos;367110
Amazonas;Outras;Todos as situações;Outros tipos;10348
Amazonas;Todas as raças;Rural;Outros tipos;368993
Amazonas;Todas as raças;Urbana;Outros tipos;107222
Amazonas;Todas as raças;Todos as situações;Outros;33231
Amazonas;Todas as raças;Todos as situações;Casal sem filhas/os;48286
Amazonas;Todas as raças;Todos as situações;Todos os tipos;476215
Amazonas;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;209114
Amazonas;Todas as raças;Todos as situações;Unipessoal;37936
