UF;Raça/Cor;Mortalidade
Acre;Brancas;0
Acre;Negras;8
Acre;Outras;0
Acre;Todas as raças;8
Alagoas;Brancas;6
Alagoas;Negras;40
Alagoas;Outras;7
Alagoas;Todas as raças;53
Amapá;Brancas;0
Amapá;Negras;8
Amapá;Outras;0
Amapá;Todas as raças;8
Amazonas;Brancas;12
Amazonas;Negras;60
Amazonas;Outras;5
Amazonas;Todas as raças;77
Bahia;Brancas;21
Bahia;Negras;108
Bahia;Outras;9
Bahia;Todas as raças;138
Ceará;Brancas;19
Ceará;Negras;55
Ceará;Outras;5
Ceará;Todas as raças;79
Distrito Federal;Brancas;7
Distrito Federal;Negras;14
Distrito Federal;Outras;0
Distrito Federal;Todas as raças;21
Espírito Santo;Brancas;9
Espírito Santo;Negras;35
Espírito Santo;Outras;6
Espírito Santo;Todas as raças;50
Goiás;Brancas;11
Goiás;Negras;38
Goiás;Outras;4
Goiás;Todas as raças;53
Maranhão;Brancas;12
Maranhão;Negras;72
Maranhão;Outras;7
Maranhão;Todas as raças;91
Mato Grosso;Brancas;6
Mato Grosso;Negras;27
Mato Grosso;Outras;2
Mato Grosso;Todas as raças;35
Mato Grosso do Sul;Brancas;8
Mato Grosso do Sul;Negras;17
Mato Grosso do Sul;Outras;1
Mato Grosso do Sul;Todas as raças;26
Minas Gerais;Brancas;31
Minas Gerais;Negras;78
Minas Gerais;Outras;6
Minas Gerais;Todas as raças;115
Pará;Brancas;10
Pará;Negras;97
Pará;Outras;3
Pará;Todas as raças;110
Paraíba;Brancas;5
Paraíba;Negras;26
Paraíba;Outras;0
Paraíba;Todas as raças;31
Paraná;Brancas;47
Paraná;Negras;18
Paraná;Outras;1
Paraná;Todas as raças;66
Pernambuco;Brancas;15
Pernambuco;Negras;56
Pernambuco;Outras;0
Pernambuco;Todas as raças;71
Piauí;Brancas;5
Piauí;Negras;22
Piauí;Outras;6
Piauí;Todas as raças;33
Rio de Janeiro;Brancas;50
Rio de Janeiro;Negras;113
Rio de Janeiro;Outras;3
Rio de Janeiro;Todas as raças;166
Rio Grande do Norte;Brancas;6
Rio Grande do Norte;Negras;26
Rio Grande do Norte;Outras;1
Rio Grande do Norte;Todas as raças;33
Rio Grande do Sul;Brancas;43
Rio Grande do Sul;Negras;12
Rio Grande do Sul;Outras;4
Rio Grande do Sul;Todas as raças;59
Rondônia;Brancas;4
Rondônia;Negras;16
Rondônia;Outras;1
Rondônia;Todas as raças;21
Roraima;Brancas;1
Roraima;Negras;0
Roraima;Outras;4
Roraima;Todas as raças;5
Santa Catarina;Brancas;22
Santa Catarina;Negras;1
Santa Catarina;Outras;0
Santa Catarina;Todas as raças;23
São Paulo;Brancas;139
São Paulo;Negras;104
São Paulo;Outras;5
São Paulo;Todas as raças;248
Sergipe;Brancas;4
Sergipe;Negras;14
Sergipe;Outras;1
Sergipe;Todas as raças;19
Tocantins;Brancas;3
Tocantins;Negras;9
Tocantins;Outras;0
Tocantins;Todas as raças;12
Todas as UFs;Brancas;496
Todas as UFs;Negras;1074
Todas as UFs;Outras;81
Todas as UFs;Todas as raças;1651
