Ano;UF;Sexo;Demais causas definidas;Doenças infecciosas e parasitárias;Neoplasias;Doenças do aparelho circulatório;Doenças do aparelho respiratório;Afecções originadas no período perinatal;Causas externas
2009;Acre;Homens;519;94;176;404;180;77;316
2009;Acre;Mulheres;348;61;155;273;153;64;71
2009;Alagoas;Homens;2577;442;832;2481;686;337;2718
2009;Alagoas;Mulheres;2161;347;815;2321;725;264;342
2009;Amapá;Homens;404;69;113;233;86;116;365
2009;Amapá;Mulheres;257;46;89;125;78;99;56
2009;Amazonas;Homens;2422;510;951;1229;602;369;1671
2009;Amazonas;Mulheres;1939;306;884;993;501;287;319
2009;Bahia;Homens;12778;2047;4736;9233;2791;1466;9921
2009;Bahia;Mulheres;10638;1450;4071;9185;2496;1054;1554
2009;Ceará;Homens;5772;1105;3439;6868;2210;724;4964
2009;Ceará;Mulheres;4931;804;3230;6506;2214;530;883
2009;Distrito Federal;Homens;1174;241;1008;1517;450;169;1566
2009;Distrito Federal;Mulheres;942;194;938;1373;409;124;352
2009;Espírito Santo;Homens;2129;373;1826;3434;926;193;3252
2009;Espírito Santo;Mulheres;1949;230;1428;2918;903;150;678
2009;Goiás;Homens;4091;857;2344;4605;1867;392;4101
2009;Goiás;Mulheres;3076;643;2026;3784;1587;290;811
2009;Maranhão;Homens;3854;796;1445;4615;898;740;3045
2009;Maranhão;Mulheres;2962;527;1436;3614;747;507;539
2009;Mato Grosso;Homens;1807;462;1072;2293;795;227;2455
2009;Mato Grosso;Mulheres;1344;272;760;1564;570;186;454
2009;Mato Grosso do Sul;Homens;1529;323;1203;2415;789;207;1704
2009;Mato Grosso do Sul;Mulheres;1285;209;925;1778;648;188;406
2009;Minas Gerais;Homens;18666;2847;9489;16246;6429;1243;10137
2009;Minas Gerais;Mulheres;15223;2258;7865;14813;5577;940;2541
2009;Pará;Homens;5099;1083;1722;3850;1444;923;4595
2009;Pará;Mulheres;3965;635;1619;3008;1304;645;597
2009;Paraíba;Homens;3369;455;1537;3710;941;296;2394
2009;Paraíba;Mulheres;3168;349;1464;3576;911;280;335
2009;Paraná;Homens;8319;1110;6321;10628;3777;623;7717
2009;Paraná;Mulheres;6755;746;4834;8921;3163;464;1562
2009;Pernambuco;Homens;7209;1457;3451;8575;2636;799;6695
2009;Pernambuco;Mulheres;6275;980;3642;8222;2797;638;1270
2009;Piauí;Homens;1971;401;1017;3079;610;330;1543
2009;Piauí;Mulheres;1770;259;990;2473;538;263;316
2009;Rio de Janeiro;Homens;16271;3371;9527;18719;6803;1023;11568
2009;Rio de Janeiro;Mulheres;16241;2633;9534;18079;6646;824;2573
2009;Rio Grande do Norte;Homens;2233;337;1364;2504;776;232;1966
2009;Rio Grande do Norte;Mulheres;1824;268;1226;2255;729;173;320
2009;Rio Grande do Sul;Homens;8562;1856;8932;11366;5139;511;5932
2009;Rio Grande do Sul;Mulheres;8277;1254;7024;11845;4247;416;1426
2009;Rondônia;Homens;1052;168;520;998;356;142;1225
2009;Rondônia;Mulheres;680;112;366;675;218;109;209
2009;Roraima;Homens;212;66;115;169;74;45;273
2009;Roraima;Mulheres;170;35;98;122;41;36;78
2009;Santa Catarina;Homens;4196;802;3865;5128;1953;314;3374
2009;Santa Catarina;Mulheres;3778;544;2818;4538;1618;229;664
2009;São Paulo;Homens;34740;5923;24384;40939;16450;2492;19403
2009;São Paulo;Mulheres;29489;3988;20444;36982;14740;1959;4613
2009;Sergipe;Homens;1770;243;699;1454;399;203;1393
2009;Sergipe;Mulheres;1404;184;693;1474;424;142;248
2009;Tocantins;Homens;751;139;427;1127;283;130;872
2009;Tocantins;Mulheres;623;92;358;817;188;95;178
2009;Todas as UFs;Homens;153476;27577;92515;167819;60350;14323;115165
2009;Todas as UFs;Mulheres;131474;19426;79732;152234;54172;10956;23395
2010;Acre;Homens;611;102;173;349;164;86;357
2010;Acre;Mulheres;387;78;158;257;145;60;82
2010;Alagoas;Homens;2707;481;818;2452;759;302;3010
2010;Alagoas;Mulheres;2342;316;900;2263;737;247;393
2010;Amapá;Homens;324;68;122;203;95;106;444
2010;Amapá;Mulheres;249;53;100;145;105;99;59
2010;Amazonas;Homens;2408;518;923;1354;597;312;1949
2010;Amazonas;Mulheres;1905;305;947;1024;485;251;312
2010;Bahia;Homens;13211;2133;4944;9677;3061;1379;10388
2010;Bahia;Mulheres;11160;1452;4223;9232;2591;1067;1760
2010;Ceará;Homens;5625;957;3573;6472;2049;615;6052
2010;Ceará;Mulheres;4848;716;3423;6049;2022;438;995
2010;Distrito Federal;Homens;1189;271;1044;1586;513;167;1536
