"OPMS";"UF";"Município";"Nome da Unidade";"Email";"Telefone";"Endereço";"Nível";"Região";"data atualização"
;"AC";"ESTADUAL";"Secretaria de Estado de Políticas para as Mulheres";"gabinete.mulher@ac.gov.br ";"(68) 3224-1661 / 8807 ";"Av. Nações Unidas 233 Bairro Bosque (1º Prédio Maria-Mariá) Rio Banco/AC - CEP: 69.909-720";"Estadual";"Norte";22/10/2014
;"AC";"RIO BRANCO";"Secretaria Adjunta de Políticas para as Mulheres ";"mulher@riobranco.ac.gov.br";"(68) 3224-5117/ / 3211-2433 /  9971-8928 / 9985-2049";"Rua Nova Andirá – Cidade Nova – 2º Distrito. Rio Branco/AC. CEP: 69.901-510";"Capital";"Norte";8/1/2015
;"AC";"Acrelândia";"Coordenadoria  de  Politicas para as Mulheres";"prefeituradeacrelandia@hotmail.com ";"(68) 9999-5181 /32351173 (Gab. do Prefeito) ";"Rua Rafael Martins Leão, nº 360 - Bairro: Centro  CEP 69935-000";"Municipal";"Norte";8/1/2015
;"AC";"Assis Brasil";"Coordenadoria  de  Politicas para as Mulheres";"semas.ab.ac@gmail.com  ";"(68) 3548-1297 / 9975-1845 /9981 1754";"Rua Rafael Martins Leão, 360. Centro. Assis Brasil/AC. CEP: 69.935-000";"Municipal";"Norte";8/1/2015
;"AC";"Brasiléia ";"Coordenadoria  de  Politicas para as Mulheres";;"68) 3546-4661 / 9228-5840";"Av. Rua José Cairala, 42 – Raimundo Chaá. Brasiléia/AC CEP: CEP:  69932-000";"Municipal";"Norte";8/1/2015
;"AC";"Bujari";"Coordenadoria  de  Politicas para as Mulheres";"pmbujariac@gmail.com ";"(68)  3231 - 1074/  9995-0845";"Rua Pedro Mangabeira s/nº. Centro. Bujari/AC. CEP: 69.923-000";"Municipal";"Norte";8/1/2015
;"AC";"Capixaba";"Coordenadoria  de  Politicas para as Mulheres";"capixabasocial@yahoo.com.br prefeituracapixaba@hotmail.com";"(68) 8404-0895/3234-1137 /1016 /1278";"Av. Governador Edmundo Pinto – Centro. Capixaba/AC. CEP: 69.931-000";"Municipal";"Norte";8/1/2015
;"AC";"Epitaciolândia";"Coordenadoria  de  Politicas para as Mulheres";"semciasepitasiolandia@gmail.com ";"(68) 3546-4667 / 9900-7755 / 9238-3061";"Rua Pedro Capitão Vasconcelos, n. 795,  Aeroporto .Epitâciolândia/AC. CEP: 69.934-000";"Municipal";"Norte";8/1/2015
;"AC";"Feijó";"Coordenadoria  de  Politicas para as Mulheres";"cramfeijo@hotmail.com ";"(68)  3406-3083 / 9934-4903";"Rua Plácido de Castro, 672. Centro. Feijó/AC. CEP. 69.960-00";"Municipal";"Norte";8/1/2015
;"AC";"Jordão";"Coordenadoria  de  Politicas para as Mulheres";;"(68) 8422-8187";"Rua José Siqueira de Figueiredo, s/nº. Centro. Jordão/AC. CEP: 69.975-000";"Municipal";"Norte";8/1/2015
;"AC";"Mâncio Lima";"Coordenadoria  de  Politicas para as Mulheres";;"(68) 3343-1674 /9928-6499";"Rua Alberto Gadelha, 385. Centro. Mâncio Lima/AC. CEP: 69.990-000";"Municipal";"Norte";8/1/2015
;"AC";"Manoel Urbano";"Coordenadoria  de  Politicas para as Mulheres";;"(68) 9938-4077";"Rua Valério Caldas Magalhães, s/n. Centro.  Manuel Urbano/AC. CEP: 69.950-000  (Edifício Centro Cultural, 1ª sala)";"Municipal";"Norte";8/1/2015
;"AC";"Marechal Thaumaturgo ";"Coordenadoria  de  Politicas para as Mulheres";;"(68) 8406-1867 /3325-1074 (gabinete do Prefeito)";"Rua Francisco Bonifácio da Costa,  Centro. Marechal Thaumaturgo/AC. CEP: 69.983-000";"Municipal";"Norte";8/1/2015
;"AC";"Plácido de Castro ";"Coordenadoria  Municipal da Mulher - COMULHER";;"(68) 99022424";"Rua Epitácio Pessoa, 146, Centro. Plácido Castro/AC. CEP: 69.928-000";"Municipal";"Norte";8/1/2015
;"AC";"Porto Acre";"Diretoria de Políticas para as Mulheres";"gabinete.pmpa@gmail.com ";"(68)  9931-3578 /3233-1032";"Rodovia AC 10 Km 57. Porto do Acre/AC. CEP: 69.927-000";"Municipal";"Norte";8/1/2015
;"AC";"Porto Walter";"Coordenadoria  de  Politicas para as Mulheres";"sui26@hotmail.com  (provisório)";"(68) 8412-9883/ 3325-8027";"Rua Alfredo Sales, s/n. Centro. (prédio da pref. Municipal). Porto Walter/AC. CEP: 69.982-000";"Municipal";"Norte";8/1/2015
;"AC";"Rodrigues Alves";"Assessoria de Política para Mulheres - ";;"(68) / 8406-9992 / 3342-1224";"Rua Sena Madureira, 827. Centro. Rodrigues Alves. CEP: 69.985-000 ";"Municipal";"Norte";8/1/2015
;"AC";"Santa Rosa do Purus";"Coordenadoria  Municipal da Mulher - COMULHER";;"(68)99535282 / 99825650 (meire)";"Rua Coronel José Ferreira. S/N. Centro. Santa Rosa do Purus/AC. CEP: 69.955-000";"Municipal";"Norte";8/1/2015
;"AC";"Sena Madureira";"Coordenadoria  de  Politicas para as Mulheres";;"9946-8760 Sainar soares (sec administ)";"Rua Avelino Chaves, 1159. Centro. Sena Madureira/AC. CEP: 69.940-000";"Municipal";"Norte";8/1/2015
;"AC";"Senador Guiomard";"Coordenadoria  de  Politicas para as Mulheres";;"(68) 9911-5157 Andrea";"Em processo de criação ";"Municipal";"Norte";8/1/2015
;"AC";"Tarauacá";"Coordenadoria  de  Politicas para as Mulheres";;"(68) 9952 4157";"Rua Rosa Juruana A. Lima, 1610. Corcovado. Tarauacá/AC. CEP: 69.970-000";"Municipal";"Norte";8/1/2015
;"AC";"Xapuri";"Coordenadoria  de  Politicas para as Mulheres";"mira.xapuri@gmail.com";"(68) 9988-6881 35422721 (gab. do Prefeito)";"Rua 24 de Janeiro. 280. Centro. Xapuri/AC. CEP: 69.930-000";"Municipal";"Norte";8/1/2015
22;"Acre";"Todas";;;;;;;
;"AL";"ESTADUAL";"Secretaria  de Estado da Mulher, da Cidadania e dos Direitos Humanos – SEMCDH";"gabinete@mulher.al.gov.br";"(82) 3315-2160/ 2121/9 9909-0919 (Cláudia) / 9 8833-4171 (roseane) 98833-9035";"Rua Cincinato Pinto, nº 503 - 2º andar - Centro - Maceió/AL - CEP: 57020-050";"Estadual";"Nordeste";
