"UF";"Sexo";"Total"
"Acre";"Homens";145143
"Acre";"Mulheres";90713
"Alagoas";"Homens";596527
"Alagoas";"Mulheres";450539
"Amapá";"Homens";125957
"Amapá";"Mulheres";99371
"Amazonas";"Homens";674663
"Amazonas";"Mulheres";476215
"Bahia";"Homens";3022283
"Bahia";"Mulheres";2226077
"Ceará";"Homens";1694919
"Ceará";"Mulheres";1189343
"Distrito Federal";"Homens";525739
"Distrito Federal";"Mulheres";455594
"Espírito Santo";"Homens";890408
"Espírito Santo";"Mulheres";490173
"Goiás";"Homens";1471277
"Goiás";"Mulheres";833265
"Maranhão";"Homens";1167605
"Maranhão";"Mulheres";901534
"Mato Grosso";"Homens";725283
"Mato Grosso";"Mulheres";407006
"Mato Grosso do Sul";"Homens";567208
"Mato Grosso do Sul";"Mulheres";352753
"Minas Gerais";"Homens";4601710
"Minas Gerais";"Mulheres";2691943
"Pará";"Homens";1561688
"Pará";"Mulheres";897206
"Paraíba";"Homens";793466
"Paraíba";"Mulheres";540597
"Paraná";"Homens";2526422
"Paraná";"Mulheres";1438654
"Pernambuco";"Homens";1710579
"Pernambuco";"Mulheres";1389528
"Piauí";"Homens";613263
"Piauí";"Mulheres";429951
"Rio de Janeiro";"Homens";3524629
"Rio de Janeiro";"Mulheres";2640982
"Rio Grande do Norte";"Homens";672019
"Rio Grande do Norte";"Mulheres";479060
"Rio Grande do Sul";"Homens";2437527
"Rio Grande do Sul";"Mulheres";1812448
"Rondônia";"Homens";390679
"Rondônia";"Mulheres";197227
"Roraima";"Homens";89346
"Roraima";"Mulheres";75267
"Santa Catarina";"Homens";1620473
"Santa Catarina";"Mulheres";839456
"São Paulo";"Homens";9374144
"São Paulo";"Mulheres";6088612
"Sergipe";"Homens";431198
"Sergipe";"Mulheres";310479
"Tocantins";"Homens";323223
"Tocantins";"Mulheres";184439
"Todas as UFs";"Homens";42277378
"Todas as UFs";"Mulheres";27988432
