UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Acre;Todas as Raças;Todas as situações;Unipessoal;9407
Acre;Todas as Raças;Todas as situações;Casal com filhas/os;29734
Acre;Todas as Raças;Todas as situações;Todos os tipos;90713
Acre;Todas as Raças;Todas as situações;Casal sem filhas/os;7559
Acre;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;38638
Acre;Todas as Raças;Todas as situações;Outros;5375
Acre;Branca;Todas as situações;Outros Tipos;16295
Acre;Negra;Todas as situações;Outros Tipos;72906
Acre;Outras;Todas as situações;Outros Tipos;1512
Acre;Todas as Raças;Rural;Outros Tipos;12600
Acre;Todas as Raças;Urbana;Outros Tipos;78113
Alagoas;Todas as Raças;Todas as situações;Outros;31113
Alagoas;Todas as Raças;Todas as situações;Unipessoal;64621
Alagoas;Todas as Raças;Todas as situações;Casal com filhas/os;127432
Alagoas;Todas as Raças;Todas as situações;Todos os tipos;450539
Alagoas;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;178310
Alagoas;Todas as Raças;Todas as situações;Casal sem filhas/os;49063
Alagoas;Branca;Todas as situações;Outros Tipos;113687
Alagoas;Negra;Todas as situações;Outros Tipos;335057
Alagoas;Outras;Todas as situações;Outros Tipos;1795
Alagoas;Todas as Raças;Rural;Outros Tipos;75981
Alagoas;Todas as Raças;Urbana;Outros Tipos;374558
Amapá;Todas as Raças;Todas as situações;Casal sem filhas/os;7226
Amapá;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;42330
Amapá;Todas as Raças;Todas as situações;Casal com filhas/os;35619
Amapá;Todas as Raças;Todas as situações;Todos os tipos;99371
Amapá;Todas as Raças;Todas as situações;Unipessoal;8001
Amapá;Todas as Raças;Todas as situações;Outros;6195
Amapá;Branca;Todas as situações;Outros Tipos;21420
Amapá;Negra;Todas as situações;Outros Tipos;77435
Amapá;Outras;Todas as situações;Outros Tipos;516
Amapá;Todas as Raças;Rural;Outros Tipos;5680
Amapá;Todas as Raças;Urbana;Outros Tipos;93691
Amazonas;Todas as Raças;Todas as situações;Outros;33231
Amazonas;Todas as Raças;Todas as situações;Casal sem filhas/os;48286
Amazonas;Todas as Raças;Todas as situações;Todos os tipos;476215
Amazonas;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;209114
Amazonas;Todas as Raças;Todas as situações;Unipessoal;37936
Amazonas;Todas as Raças;Todas as situações;Casal com filhas/os;147648
Amazonas;Branca;Todas as situações;Outros Tipos;98757
Amazonas;Negra;Todas as situações;Outros Tipos;367110
Amazonas;Outras;Todas as situações;Outros Tipos;10348
Amazonas;Todas as Raças;Rural;Outros Tipos;34806
Amazonas;Todas as Raças;Urbana;Outros Tipos;441409
Bahia;Todas as Raças;Todas as situações;Casal com filhas/os;463144
Bahia;Todas as Raças;Todas as situações;Outros;180606
Bahia;Todas as Raças;Todas as situações;Casal sem filhas/os;211498
Bahia;Todas as Raças;Todas as situações;Todos os tipos;2226077
Bahia;Todas as Raças;Todas as situações;Unipessoal;364814
Bahia;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;1006015
Bahia;Branca;Todas as situações;Outros Tipos;418399
Bahia;Negra;Todas as situações;Outros Tipos;1789356
Bahia;Outras;Todas as situações;Outros Tipos;18322
Bahia;Todas as Raças;Rural;Outros Tipos;352276
Bahia;Todas as Raças;Urbana;Outros Tipos;1873801
Ceará;Todas as Raças;Todas as situações;Unipessoal;158990
Ceará;Todas as Raças;Todas as situações;Casal sem filhas/os;113933
Ceará;Todas as Raças;Todas as situações;Outros;102006
Ceará;Todas as Raças;Todas as situações;Casal com filhas/os;305097
Ceará;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;509317
Ceará;Todas as Raças;Todas as situações;Todos os tipos;1189343
Ceará;Branca;Todas as situações;Outros Tipos;321659
Ceará;Negra;Todas as situações;Outros Tipos;863539
Ceará;Outras;Todas as situações;Outros Tipos;4145
Ceará;Todas as Raças;Rural;Outros Tipos;210317
Ceará;Todas as Raças;Urbana;Outros Tipos;979026
Distrito Federal;Todas as Raças;Todas as situações;Todos os tipos;455594
Distrito Federal;Todas as Raças;Todas as situações;Outros;26529
Distrito Federal;Todas as Raças;Todas as situações;Casal com filhas/os;125334
Distrito Federal;Todas as Raças;Todas as situações;Casal sem filhas/os;42996
Distrito Federal;Todas as Raças;Todas as situações;Unipessoal;74410
Distrito Federal;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;186325
Distrito Federal;Branca;Todas as situações;Outros Tipos;183882
Distrito Federal;Negra;Todas as situações;Outros Tipos;263479
Distrito Federal;Outras;Todas as situações;Outros Tipos;8233
Distrito Federal;Todas as Raças;Rural;Outros Tipos;10674
Distrito Federal;Todas as Raças;Urbana;Outros Tipos;444920
