"UF";"Grupamentos";"Total"
"Acre";"Administração pública";33429
"Acre";"Agrícola";77445
"Acre";"Alojamento e alimentação";13606
"Acre";"Atividades maldefinidas";504
"Acre";"Comércio e reparação";49893
"Acre";"Construção";32589
"Acre";"Educação, saúde e serviços sociais";36957
"Acre";"Indústria de transformação";16798
"Acre";"Outras atividades";19320
"Acre";"Outras atividades industriais";1008
"Acre";"Outros serviços coletivos, sociais e pessoais";11591
"Acre";"Serviços domésticos";24359
"Acre";"Transporte, armazenagem e comunicação";13100
"Alagoas";"Administração pública";83761
"Alagoas";"Agrícola";298543
"Alagoas";"Alojamento e alimentação";55652
"Alagoas";"Atividades maldefinidas";598
"Alagoas";"Comércio e reparação";221367
"Alagoas";"Construção";122672
"Alagoas";"Educação, saúde e serviços sociais";134030
"Alagoas";"Indústria de transformação";62826
"Alagoas";"Outras atividades";77177
"Alagoas";"Outras atividades industriais";5983
"Alagoas";"Outros serviços coletivos, sociais e pessoais";28117
"Alagoas";"Serviços domésticos";83167
"Alagoas";"Transporte, armazenagem e comunicação";61025
"Amapá";"Administração pública";26844
"Amapá";"Agrícola";27357
"Amapá";"Alojamento e alimentação";20913
"Amapá";"Atividades maldefinidas";0
"Amapá";"Comércio e reparação";66076
"Amapá";"Construção";42331
"Amapá";"Educação, saúde e serviços sociais";47748
"Amapá";"Indústria de transformação";8518
"Amapá";"Outras atividades";23487
"Amapá";"Outras atividades industriais";6452
"Amapá";"Outros serviços coletivos, sociais e pessoais";8520
"Amapá";"Serviços domésticos";22455
"Amapá";"Transporte, armazenagem e comunicação";18067
"Amazonas";"Administração pública";109402
"Amazonas";"Agrícola";299378
"Amazonas";"Alojamento e alimentação";83376
"Amazonas";"Atividades maldefinidas";0
"Amazonas";"Comércio e reparação";286883
"Amazonas";"Construção";148600
"Amazonas";"Educação, saúde e serviços sociais";191884
"Amazonas";"Indústria de transformação";211293
"Amazonas";"Outras atividades";106590
"Amazonas";"Outras atividades industriais";9720
"Amazonas";"Outros serviços coletivos, sociais e pessoais";64255
"Amazonas";"Serviços domésticos";84635
"Amazonas";"Transporte, armazenagem e comunicação";102815
"Bahia";"Administração pública";388991
"Bahia";"Agrícola";1734352
"Bahia";"Alojamento e alimentação";342585
"Bahia";"Atividades maldefinidas";4542
"Bahia";"Comércio e reparação";1209699
"Bahia";"Construção";671506
"Bahia";"Educação, saúde e serviços sociais";706066
"Bahia";"Indústria de transformação";463552
"Bahia";"Outras atividades";390630
"Bahia";"Outras atividades industriais";47096
"Bahia";"Outros serviços coletivos, sociais e pessoais";283172
"Bahia";"Serviços domésticos";459689
"Bahia";"Transporte, armazenagem e comunicação";329060
"Ceará";"Administração pública";181297
"Ceará";"Agrícola";924958
"Ceará";"Alojamento e alimentação";171218
"Ceará";"Atividades maldefinidas";8863
"Ceará";"Comércio e reparação";718589
"Ceará";"Construção";294462
"Ceará";"Educação, saúde e serviços sociais";388093
"Ceará";"Indústria de transformação";490615
"Ceará";"Outras atividades";201268
"Ceará";"Outras atividades industriais";17623
"Ceará";"Outros serviços coletivos, sociais e pessoais";145254
"Ceará";"Serviços domésticos";252003
"Ceará";"Transporte, armazenagem e comunicação";167692
"Distrito Federal";"Administração pública";206455
"Distrito Federal";"Agrícola";17991
"Distrito Federal";"Alojamento e alimentação";83253
"Distrito Federal";"Atividades maldefinidas";305
"Distrito Federal";"Comércio e reparação";247004
"Distrito Federal";"Construção";114962
"Distrito Federal";"Educação, saúde e serviços sociais";183274
"Distrito Federal";"Indústria de transformação";54893
"Distrito Federal";"Outras atividades";260117
"Distrito Federal";"Outras atividades industriais";7930
"Distrito Federal";"Outros serviços coletivos, sociais e pessoais";82026
"Distrito Federal";"Serviços domésticos";101848
"Distrito Federal";"Transporte, armazenagem e comunicação";75016
"Espírito Santo";"Administração pública";117537
"Espírito Santo";"Agrícola";331477
"Espírito Santo";"Alojamento e alimentação";82870
"Espírito Santo";"Atividades maldefinidas";1176
"Espírito Santo";"Comércio e reparação";356739
"Espírito Santo";"Construção";190420
"Espírito Santo";"Educação, saúde e serviços sociais";200995
"Espírito Santo";"Indústria de transformação";195112
"Espírito Santo";"Outras atividades";156346
"Espírito Santo";"Outras atividades industriais";30564
"Espírito Santo";"Outros serviços coletivos, sociais e pessoais";74640
"Espírito Santo";"Serviços domésticos";118727
"Espírito Santo";"Transporte, armazenagem e comunicação";114610
"Goiás";"Administração pública";198277
"Goiás";"Agrícola";382752
"Goiás";"Alojamento e alimentação";170219
"Goiás";"Atividades maldefinidas";446
"Goiás";"Comércio e reparação";651885
"Goiás";"Construção";377862
"Goiás";"Educação, saúde e serviços sociais";293610
"Goiás";"Indústria de transformação";434873
"Goiás";"Outras atividades";223260
"Goiás";"Outras atividades industriais";20939
"Goiás";"Outros serviços coletivos, sociais e pessoais";138125
"Goiás";"Serviços domésticos";232605
"Goiás";"Transporte, armazenagem e comunicação";169325
"Maranhão";"Administração pública";141060
"Maranhão";"Agrícola";1146113
"Maranhão";"Alojamento e alimentação";114229
"Maranhão";"Atividades maldefinidas";0
"Maranhão";"Comércio e reparação";472242
"Maranhão";"Construção";296696
"Maranhão";"Educação, saúde e serviços sociais";276741
"Maranhão";"Indústria de transformação";118061
"Maranhão";"Outras atividades";107328
"Maranhão";"Outras atividades industriais";26068
"Maranhão";"Outros serviços coletivos, sociais e pessoais";88934
"Maranhão";"Serviços domésticos";151034
"Maranhão";"Transporte, armazenagem e comunicação";110389
"Mato Grosso";"Administração pública";97248
"Mato Grosso";"Agrícola";281049
"Mato Grosso";"Alojamento e alimentação";77110
"Mato Grosso";"Atividades maldefinidas";428
"Mato Grosso";"Comércio e reparação";310561
"Mato Grosso";"Construção";162359
"Mato Grosso";"Educação, saúde e serviços sociais";145247
"Mato Grosso";"Indústria de transformação";155076
"Mato Grosso";"Outras atividades";112661
"Mato Grosso";"Outras atividades industriais";29561
"Mato Grosso";"Outros serviços coletivos, sociais e pessoais";57410
"Mato Grosso";"Serviços domésticos";97249
"Mato Grosso";"Transporte, armazenagem e comunicação";98543
"Mato Grosso do Sul";"Administração pública";84703
"Mato Grosso do Sul";"Agrícola";220384
"Mato Grosso do Sul";"Alojamento e alimentação";67008
"Mato Grosso do Sul";"Atividades maldefinidas";0
"Mato Grosso do Sul";"Comércio e reparação";252022
"Mato Grosso do Sul";"Construção";139073
"Mato Grosso do Sul";"Educação, saúde e serviços sociais";150024
"Mato Grosso do Sul";"Indústria de transformação";142858
"Mato Grosso do Sul";"Outras atividades";95238
"Mato Grosso do Sul";"Outras atividades industriais";8428
"Mato Grosso do Sul";"Outros serviços coletivos, sociais e pessoais";62375
"Mato Grosso do Sul";"Serviços domésticos";96504
"Mato Grosso do Sul";"Transporte, armazenagem e comunicação";64893
"Minas Gerais";"Administração pública";546074
"Minas Gerais";"Agrícola";1864876
"Minas Gerais";"Alojamento e alimentação";429073
"Minas Gerais";"Atividades maldefinidas";1512
"Minas Gerais";"Comércio e reparação";1816657
"Minas Gerais";"Construção";978312
"Minas Gerais";"Educação, saúde e serviços sociais";1072628
"Minas Gerais";"Indústria de transformação";1284595
"Minas Gerais";"Outras atividades";740229
"Minas Gerais";"Outras atividades industriais";141806
"Minas Gerais";"Outros serviços coletivos, sociais e pessoais";450305
"Minas Gerais";"Serviços domésticos";734506
"Minas Gerais";"Transporte, armazenagem e comunicação";550180
"Pará";"Administração pública";199812
"Pará";"Agrícola";747624
"Pará";"Alojamento e alimentação";156049
"Pará";"Atividades maldefinidas";6034
"Pará";"Comércio e reparação";678367
"Pará";"Construção";371240
"Pará";"Educação, saúde e serviços sociais";297617
"Pará";"Indústria de transformação";314345
"Pará";"Outras atividades";157236
"Pará";"Outras atividades industriais";46763
"Pará";"Outros serviços coletivos, sociais e pessoais";134076
"Pará";"Serviços domésticos";203783
"Pará";"Transporte, armazenagem e comunicação";176540
"Paraíba";"Administração pública";120828
"Paraíba";"Agrícola";363717
"Paraíba";"Alojamento e alimentação";80345
"Paraíba";"Atividades maldefinidas";0
"Paraíba";"Comércio e reparação";313263
"Paraíba";"Construção";172520
"Paraíba";"Educação, saúde e serviços sociais";194316
"Paraíba";"Indústria de transformação";179370
"Paraíba";"Outras atividades";99651
"Paraíba";"Outras atividades industriais";16192
"Paraíba";"Outros serviços coletivos, sociais e pessoais";72866
"Paraíba";"Serviços domésticos";109624
"Paraíba";"Transporte, armazenagem e comunicação";61042
"Paraná";"Administração pública";255450
"Paraná";"Agrícola";684211
