UF;Raça/Cor;Mulheres;Homens
Acre;Branca; 4.7; 5.3
Acre;Negra; 3.6; 5.0
Alagoas;Branca; 4.1; 5.1
Alagoas;Negra; 3.2; 4.3
Amapá;Branca; 5.2; 6.2
Amapá;Negra; 4.2; 5.9
Amazonas;Branca; 5.5; 5.7
Amazonas;Negra; 3.8; 5.6
Bahia;Branca; 4.8; 5.1
Bahia;Negra; 4.3; 4.6
Ceará;Branca; 4.9; 5.1
Ceará;Negra; 3.9; 4.7
Distrito Federal;Branca; 6.1; 6.4
Distrito Federal;Negra; 5.0; 6.1
Espírito Santo;Branca; 5.1; 5.4
Espírito Santo;Negra; 4.3; 5.1
Goiás;Branca; 4.7; 5.6
Goiás;Negra; 4.1; 5.1
Maranhão;Branca; 4.2; 4.9
Maranhão;Negra; 3.6; 4.1
Mato Grosso;Branca; 4.8; 5.6
Mato Grosso;Negra; 3.9; 5.4
Mato Grosso do Sul;Branca; 5.0; 5.5
Mato Grosso do Sul;Negra; 4.1; 4.8
Minas Gerais;Branca; 5.1; 5.5
Minas Gerais;Negra; 4.2; 4.9
Pará;Branca; 4.7; 5.3
Pará;Negra; 3.7; 4.9
Paraíba;Branca; 4.5; 4.9
Paraíba;Negra; 3.8; 4.2
Paraná;Branca; 5.1; 5.8
Paraná;Negra; 4.0; 5.2
Pernambuco;Branca; 5.4; 5.5
Pernambuco;Negra; 4.1; 5.2
Piauí;Branca; 4.1; 4.0
Piauí;Negra; 3.5; 3.8
Rio de Janeiro;Branca; 5.4; 6.3
Rio de Janeiro;Negra; 4.4; 5.6
Rio Grande do Norte;Branca; 4.6; 4.9
Rio Grande do Norte;Negra; 3.6; 4.5
Rio Grande do Sul;Branca; 5.2; 5.3
Rio Grande do Sul;Negra; 4.0; 4.9
Rondônia;Branca; 4.4; 5.4
Rondônia;Negra; 4.0; 5.2
Roraima;Branca; 4.9; 5.8
Roraima;Negra; 4.6; 5.2
Santa Catarina;Branca; 5.1; 5.6
Santa Catarina;Negra; 3.8; 5.3
São Paulo;Branca; 5.5; 6.2
São Paulo;Negra; 4.4; 5.5
Sergipe;Branca; 4.2; 4.2
Sergipe;Negra; 3.7; 4.2
Tocantins;Branca; 4.8; 5.7
Tocantins;Negra; 4.0; 4.8
Todas as UFs;Branca; 5.1; 5.6
Todas as UFs;Negra; 4.1; 5.0
