"UF";"Sexo";"Trabalho Principal";"Afazeres Domésticos"
"Acre";"Homens";" 39.2";" 10.5"
"Acre";"Mulheres";" 32.9";" 23.0"
"Alagoas";"Homens";" 39.0";" 12.0"
"Alagoas";"Mulheres";" 32.9";" 29.9"
"Amapá";"Homens";" 42.1";" 12.3"
"Amapá";"Mulheres";" 37.8";" 25.8"
"Amazonas";"Homens";" 39.6";" 12.1"
"Amazonas";"Mulheres";" 35.0";" 23.8"
"Bahia";"Homens";" 40.4";" 10.2"
"Bahia";"Mulheres";" 33.9";" 25.3"
"Ceará";"Homens";" 39.7";" 12.3"
"Ceará";"Mulheres";" 34.9";" 27.9"
"Distrito Federal";"Homens";" 40.8";" 10.2"
"Distrito Federal";"Mulheres";" 38.2";" 24.4"
"Espírito Santo";"Homens";" 42.2";"  9.8"
"Espírito Santo";"Mulheres";" 35.4";" 23.7"
"Goiás";"Homens";" 43.1";" 10.5"
"Goiás";"Mulheres";" 36.8";" 24.9"
"Maranhão";"Homens";" 37.7";" 10.3"
"Maranhão";"Mulheres";" 28.0";" 24.8"
"Mato Grosso";"Homens";" 44.0";" 10.4"
"Mato Grosso";"Mulheres";" 36.9";" 25.0"
"Mato Grosso do Sul";"Homens";" 44.2";" 11.4"
"Mato Grosso do Sul";"Mulheres";" 35.0";" 22.9"
"Minas Gerais";"Homens";" 42.1";" 10.2"
"Minas Gerais";"Mulheres";" 35.1";" 24.8"
"Pará";"Homens";" 40.8";" 11.9"
"Pará";"Mulheres";" 33.8";" 24.1"
"Paraíba";"Homens";" 40.1";" 10.2"
"Paraíba";"Mulheres";" 31.8";" 27.8"
"Paraná";"Homens";" 42.1";"  9.7"
"Paraná";"Mulheres";" 36.6";" 22.7"
"Pernambuco";"Homens";" 41.1";" 13.2"
"Pernambuco";"Mulheres";" 35.8";" 29.6"
"Piauí";"Homens";" 37.8";" 11.0"
"Piauí";"Mulheres";" 28.0";" 27.0"
"Rio de Janeiro";"Homens";" 42.1";" 12.3"
"Rio de Janeiro";"Mulheres";" 37.1";" 24.4"
"Rio Grande do Norte";"Homens";" 40.4";" 10.0"
"Rio Grande do Norte";"Mulheres";" 33.9";" 26.0"
"Rio Grande do Sul";"Homens";" 42.5";" 11.6"
"Rio Grande do Sul";"Mulheres";" 36.8";" 23.8"
"Rondônia";"Homens";" 40.4";" 11.2"
"Rondônia";"Mulheres";" 34.1";" 25.3"
"Roraima";"Homens";" 39.8";" 11.7"
"Roraima";"Mulheres";" 34.6";" 23.7"
"Santa Catarina";"Homens";" 43.0";" 10.9"
"Santa Catarina";"Mulheres";" 38.1";" 24.6"
"São Paulo";"Homens";" 43.2";" 10.9"
"São Paulo";"Mulheres";" 38.4";" 25.5"
"Sergipe";"Homens";" 38.0";" 10.2"
"Sergipe";"Mulheres";" 30.2";" 25.6"
"Tocantins";"Homens";" 39.5";" 10.0"
"Tocantins";"Mulheres";" 31.8";" 22.6"
"Todas as UFs";"Homens";" 41.4";" 11.0"
"Todas as UFs";"Mulheres";" 35.5";" 25.2"
