UF;Faixa Etária;Mulheres
Acre;15 a 19 anos;40654
Alagoas;15 a 19 anos;178292
Amapá;15 a 19 anos;40780
Amazonas;15 a 19 anos;192788
Bahia;15 a 19 anos;682832
Ceará;15 a 19 anos;421457
Distrito Federal;15 a 19 anos;108870
Espírito Santo;15 a 19 anos;149875
Goiás;15 a 19 anos;277171
Maranhão;15 a 19 anos;368750
Mato Grosso;15 a 19 anos;115684
Mato Grosso do Sul;15 a 19 anos;95659
Minas Gerais;15 a 19 anos;863920
Pará;15 a 19 anos;376817
Paraíba;15 a 19 anos;164425
Paraná;15 a 19 anos;422918
Pernambuco;15 a 19 anos;402467
Piauí;15 a 19 anos;151919
Rio de Janeiro;15 a 19 anos;637106
Rio Grande do Norte;15 a 19 anos;164629
Rio Grande do Sul;15 a 19 anos;446363
Rondônia;15 a 19 anos;66744
Roraima;15 a 19 anos;23195
Santa Catarina;15 a 19 anos;276801
São Paulo;15 a 19 anos;1758384
Sergipe;15 a 19 anos;106265
Tocantins;15 a 19 anos;65563
Todas as UFs;15 a 19 anos;8600328
Acre;15 a 19 anos com filhos;6384
Alagoas;15 a 19 anos com filhos;28126
Amapá;15 a 19 anos com filhos;6969
Amazonas;15 a 19 anos com filhos;38561
Bahia;15 a 19 anos com filhos;76560
Ceará;15 a 19 anos com filhos;45366
Distrito Federal;15 a 19 anos com filhos;8540
Espírito Santo;15 a 19 anos com filhos;11757
Goiás;15 a 19 anos com filhos;34316
Maranhão;15 a 19 anos com filhos;49830
Mato Grosso;15 a 19 anos com filhos;17566
Mato Grosso do Sul;15 a 19 anos com filhos;10115
Minas Gerais;15 a 19 anos com filhos;80591
Pará;15 a 19 anos com filhos;52339
Paraíba;15 a 19 anos com filhos;26157
Paraná;15 a 19 anos com filhos;38734
Pernambuco;15 a 19 anos com filhos;51387
Piauí;15 a 19 anos com filhos;21301
Rio de Janeiro;15 a 19 anos com filhos;63449
Rio Grande do Norte;15 a 19 anos com filhos;22943
Rio Grande do Sul;15 a 19 anos com filhos;32271
Rondônia;15 a 19 anos com filhos;8063
Roraima;15 a 19 anos com filhos;4753
Santa Catarina;15 a 19 anos com filhos;16698
São Paulo;15 a 19 anos com filhos;160133
Sergipe;15 a 19 anos com filhos;12651
Tocantins;15 a 19 anos com filhos;10460
Todas as UFs;15 a 19 anos com filhos;936020
Acre;15 a 19 anos sem filhos;34270
Alagoas;15 a 19 anos sem filhos;150166
Amapá;15 a 19 anos sem filhos;33811
Amazonas;15 a 19 anos sem filhos;154227
Bahia;15 a 19 anos sem filhos;606272
Ceará;15 a 19 anos sem filhos;376091
Distrito Federal;15 a 19 anos sem filhos;100330
Espírito Santo;15 a 19 anos sem filhos;138118
Goiás;15 a 19 anos sem filhos;242855
Maranhão;15 a 19 anos sem filhos;318920
Mato Grosso;15 a 19 anos sem filhos;98118
Mato Grosso do Sul;15 a 19 anos sem filhos;85544
Minas Gerais;15 a 19 anos sem filhos;783329
Pará;15 a 19 anos sem filhos;324478
Paraíba;15 a 19 anos sem filhos;138268
Paraná;15 a 19 anos sem filhos;384184
Pernambuco;15 a 19 anos sem filhos;351080
Piauí;15 a 19 anos sem filhos;130618
Rio de Janeiro;15 a 19 anos sem filhos;573657
Rio Grande do Norte;15 a 19 anos sem filhos;141686
Rio Grande do Sul;15 a 19 anos sem filhos;414092
Rondônia;15 a 19 anos sem filhos;58681
Roraima;15 a 19 anos sem filhos;18442
Santa Catarina;15 a 19 anos sem filhos;260103
São Paulo;15 a 19 anos sem filhos;1598251
Sergipe;15 a 19 anos sem filhos;93614
Tocantins;15 a 19 anos sem filhos;55103
Todas as UFs;15 a 19 anos sem filhos;7664308
Acre;15 a 49 anos;217213
Alagoas;15 a 49 anos;938740
Amapá;15 a 49 anos;215524
Amazonas;15 a 49 anos;1070565
Bahia;15 a 49 anos;4197667
Ceará;15 a 49 anos;2400235
Distrito Federal;15 a 49 anos;840138
Espírito Santo;15 a 49 anos;1072608
Goiás;15 a 49 anos;1798443
Maranhão;15 a 49 anos;1846038
Mato Grosso;15 a 49 anos;886365
Mato Grosso do Sul;15 a 49 anos;715585
Minas Gerais;15 a 49 anos;5632481
Pará;15 a 49 anos;2180742
Paraíba;15 a 49 anos;1075602
Paraná;15 a 49 anos;2986251
Pernambuco;15 a 49 anos;2542054
Piauí;15 a 49 anos;884533
