UF;Sexo;Pessoas
Acre;Todos;77276
Alagoas;Todos;297349
Amapá;Todos;25810
Amazonas;Todos;298750
Bahia;Todos;1710834
Ceará;Todos;926311
Distrito Federal;Todos;17686
Espírito Santo;Todos;323837
Goiás;Todos;369826
Maranhão;Todos;1135378
Mato Grosso;Todos;242500
Mato Grosso do Sul;Todos;209852
Minas Gerais;Todos;1833765
Pará;Todos;748713
Paraíba;Todos;364964
Paraná;Todos;697081
Pernambuco;Todos;679398
Piauí;Todos;552142
Rio de Janeiro;Todos;103909
Rio Grande do Norte;Todos;269207
Rio Grande do Sul;Todos;1037947
Rondônia;Todos;196236
Roraima;Todos;40681
Santa Catarina;Todos;441638
São Paulo;Todos;656615
Sergipe;Todos;249400
Tocantins;Todos;188018
Todas as UFs;Todos;13695123
Acre;Mulheres;20832
Alagoas;Mulheres;80167
Amapá;Mulheres;6193
Amazonas;Mulheres;87775
Bahia;Mulheres;553868
Ceará;Mulheres;287947
Distrito Federal;Mulheres;4878
Espírito Santo;Mulheres;109902
Goiás;Mulheres;85113
Maranhão;Mulheres;443090
Mato Grosso;Mulheres;39852
Mato Grosso do Sul;Mulheres;54787
Minas Gerais;Mulheres;585486
Pará;Mulheres;216738
Paraíba;Mulheres;124559
Paraná;Mulheres;239309
Pernambuco;Mulheres;237738
Piauí;Mulheres;211887
Rio de Janeiro;Mulheres;12262
Rio Grande do Norte;Mulheres;75565
Rio Grande do Sul;Mulheres;395619
Rondônia;Mulheres;54658
Roraima;Mulheres;10266
Santa Catarina;Mulheres;159957
São Paulo;Mulheres;160113
Sergipe;Mulheres;90366
Tocantins;Mulheres;52553
Todas as UFs;Mulheres;4401480
Acre;Homens;56444
Alagoas;Homens;217182
Amapá;Homens;19617
Amazonas;Homens;210975
Bahia;Homens;1156966
Ceará;Homens;638364
Distrito Federal;Homens;12808
Espírito Santo;Homens;213935
Goiás;Homens;284713
Maranhão;Homens;692288
Mato Grosso;Homens;202648
Mato Grosso do Sul;Homens;155065
Minas Gerais;Homens;1248279
Pará;Homens;531975
Paraíba;Homens;240405
Paraná;Homens;457772
Pernambuco;Homens;441660
Piauí;Homens;340255
Rio de Janeiro;Homens;91647
Rio Grande do Norte;Homens;193642
Rio Grande do Sul;Homens;642328
Rondônia;Homens;141578
Roraima;Homens;30415
Santa Catarina;Homens;281681
São Paulo;Homens;496502
Sergipe;Homens;159034
Tocantins;Homens;135465
Todas as UFs;Homens;9293643
