"UF";"Posição";"Mulheres";"Homens"
"Acre";"Conta Própria";2352;28223
"Acre";"Empregada/o com carteira assinada";0;504
"Acre";"Empregada/o sem carteira assinada";168;4198
"Acre";"Empregador/a";0;1008
"Acre";"Não remunerado";249127;216706
"Acre";"Trabalhador/a na produção para o próprio consumo";11928;8736
"Alagoas";"Conta Própria";13761;49058
"Alagoas";"Empregada/o com carteira assinada";0;2393
"Alagoas";"Empregada/o sem carteira assinada";4189;37104
"Alagoas";"Empregador/a";0;1197
"Alagoas";"Não remunerado";1191834;996777
"Alagoas";"Trabalhador/a na produção para o próprio consumo";49654;66413
"Amapá";"Conta Própria";2839;13680
"Amapá";"Empregada/o com carteira assinada";0;258
"Amapá";"Empregada/o sem carteira assinada";0;516
"Amapá";"Empregador/a";0;774
"Amapá";"Não remunerado";253724;239013
"Amapá";"Trabalhador/a na produção para o próprio consumo";2580;2065
"Amazonas";"Conta Própria";14421;120699
"Amazonas";"Empregada/o com carteira assinada";627;2505
"Amazonas";"Empregada/o sem carteira assinada";942;4077
"Amazonas";"Não remunerado";1295009;1148038
"Amazonas";"Trabalhador/a na produção para o próprio consumo";42633;49525
"Bahia";"Conta Própria";92612;465061
"Bahia";"Empregada/o com carteira assinada";762;6099
"Bahia";"Empregada/o sem carteira assinada";36606;199085
"Bahia";"Empregador/a";3051;21110
"Bahia";"Não remunerado";5571880;4427422
"Bahia";"Trabalhador/a na produção para o próprio consumo";294495;215120
"Ceará";"Conta Própria";47759;200203
"Ceará";"Empregada/o com carteira assinada";339;11108
"Ceará";"Empregada/o sem carteira assinada";4903;81472
"Ceará";"Empregador/a";0;9808
"Ceará";"Não remunerado";3225622;2668313
"Ceará";"Trabalhador/a na produção para o próprio consumo";215335;226011
"Distrito Federal";"Conta Própria";305;3050
"Distrito Federal";"Empregada/o com carteira assinada";0;1219
"Distrito Federal";"Empregador/a";0;1525
"Distrito Federal";"Não remunerado";1153928;1033154
"Distrito Federal";"Trabalhador/a na produção para o próprio consumo";2745;1830
"Espírito Santo";"Conta Própria";12340;108727
"Espírito Santo";"Empregada/o com carteira assinada";0;1176
"Espírito Santo";"Empregada/o sem carteira assinada";3524;18809
"Espírito Santo";"Empregador/a";588;4113
"Espírito Santo";"Não remunerado";1523957;1285954
"Espírito Santo";"Trabalhador/a na produção para o próprio consumo";28215;8816
"Goiás";"Conta Própria";4454;73071
"Goiás";"Empregada/o com carteira assinada";4456;5346
"Goiás";"Empregada/o sem carteira assinada";3562;20946
"Goiás";"Empregador/a";1783;20490
"Goiás";"Não remunerado";2500254;2292027
