UF;Raça/Cor;Faixa Etária;Situação do Domicílio;Homens;Mulheres
Acre;Branca;Todas;Todas;  76.99;  79.04
Acre;Negra;Todas;Todas;  75.92;  78.82
Acre;Todas;10 a 24 anos;Todas;  96.18;  96.66
Acre;Todas;25 a 49 anos;Todas;  87.47;  89.79
Acre;Todas;50 anos ou mais;Todas;  68.75;  68.26
Acre;Todas;Todas;Rural;  61.85;  62.87
Acre;Todas;Todas;Urbana;  79.94;  81.47
Alagoas;Branca;Todas;Todas;  73.27;  74.86
Alagoas;Negra;Todas;Todas;  68.62;  73.21
Alagoas;Todas;10 a 24 anos;Todas;  94.30;  97.27
Alagoas;Todas;25 a 49 anos;Todas;  77.20;  83.90
Alagoas;Todas;50 anos ou mais;Todas;  54.93;  55.32
Alagoas;Todas;Todas;Rural;  59.76;  67.44
Alagoas;Todas;Todas;Urbana;  73.92;  76.21
Amapá;Branca;Todas;Todas;  86.49;  82.17
Amapá;Negra;Todas;Todas;  84.53;  83.67
Amapá;Todas;10 a 24 anos;Todas;  99.09;  99.12
Amapá;Todas;25 a 49 anos;Todas;  97.13;  97.74
Amapá;Todas;50 anos ou mais;Todas;  89.47;  83.00
Amapá;Todas;Todas;Rural;  77.24;  75.18
Amapá;Todas;Todas;Urbana;  85.96;  84.24
Amazonas;Branca;Todas;Todas;  80.13;  81.56
Amazonas;Negra;Todas;Todas;  82.85;  83.89
Amazonas;Todas;10 a 24 anos;Todas;  98.48;  98.82
Amazonas;Todas;25 a 49 anos;Todas;  95.78;  97.65
Amazonas;Todas;50 anos ou mais;Todas;  80.75;  81.70
Amazonas;Todas;Todas;Rural;  75.04;  74.38
Amazonas;Todas;Todas;Urbana;  83.65;  84.43
Bahia;Branca;Todas;Todas;  77.71;  79.97
Bahia;Negra;Todas;Todas;  77.52;  80.08
Bahia;Todas;10 a 24 anos;Todas;  96.42;  98.23
Bahia;Todas;25 a 49 anos;Todas;  88.20;  93.78
Bahia;Todas;50 anos ou mais;Todas;  68.27;  66.40
Bahia;Todas;Todas;Rural;  65.56;  69.06
Bahia;Todas;Todas;Urbana;  81.97;  83.40
Ceará;Branca;Todas;Todas;  77.86;  80.63
Ceará;Negra;Todas;Todas;  74.97;  80.00
Ceará;Todas;10 a 24 anos;Todas;  97.54;  98.83
Ceará;Todas;25 a 49 anos;Todas;  84.66;  91.63
Ceará;Todas;50 anos ou mais;Todas;  61.25;  70.69
Ceará;Todas;Todas;Rural;  64.27;  73.50
Ceará;Todas;Todas;Urbana;  80.31;  82.41
Distrito Federal;Branca;Todas;Todas;  88.40;  89.11
Distrito Federal;Negra;Todas;Todas;  89.25;  90.47
Distrito Federal;Todas;10 a 24 anos;Todas;  99.34;  99.72
Distrito Federal;Todas;25 a 49 anos;Todas;  98.02;  99.16
Distrito Federal;Todas;50 anos ou mais;Todas;  93.45;  92.27
Distrito Federal;Todas;Todas;Rural;  85.91;  85.64
Distrito Federal;Todas;Todas;Urbana;  89.09;  90.11
Espírito Santo;Branca;Todas;Todas;  87.99;  87.82
Espírito Santo;Negra;Todas;Todas;  85.10;  85.18
Espírito Santo;Todas;10 a 24 anos;Todas;  99.02;  99.59
Espírito Santo;Todas;25 a 49 anos;Todas;  96.72;  97.39
Espírito Santo;Todas;50 anos ou mais;Todas;  86.51;  82.25
Espírito Santo;Todas;Todas;Rural;  83.42;  83.95
Espírito Santo;Todas;Todas;Urbana;  86.81;  86.65
Goiás;Branca;Todas;Todas;  85.96;  86.62
Goiás;Negra;Todas;Todas;  84.45;  84.75
Goiás;Todas;10 a 24 anos;Todas;  98.93;  99.71
Goiás;Todas;25 a 49 anos;Todas;  95.52;  97.19
Goiás;Todas;50 anos ou mais;Todas;  82.21;  79.66
Goiás;Todas;Todas;Rural;  83.80;  81.47
Goiás;Todas;Todas;Urbana;  85.18;  85.84
Maranhão;Branca;Todas;Todas;  76.02;  76.44
Maranhão;Negra;Todas;Todas;  69.24;  73.55
Maranhão;Todas;10 a 24 anos;Todas;  95.42;  98.08
Maranhão;Todas;25 a 49 anos;Todas;  80.79;  89.14
Maranhão;Todas;50 anos ou mais;Todas;  54.86;  58.05
Maranhão;Todas;Todas;Rural;  63.22;  67.92
Maranhão;Todas;Todas;Urbana;  75.75;  77.78
Mato Grosso;Branca;Todas;Todas;  86.40;  86.66
Mato Grosso;Negra;Todas;Todas;  83.70;  83.96
Mato Grosso;Todas;10 a 24 anos;Todas;  99.47;  99.21
Mato Grosso;Todas;25 a 49 anos;Todas;  95.14;  96.62
Mato Grosso;Todas;50 anos ou mais;Todas;  80.88;  82.93
Mato Grosso;Todas;Todas;Rural;  79.22;  79.52
Mato Grosso;Todas;Todas;Urbana;  85.84;  85.90
Mato Grosso do Sul;Branca;Todas;Todas;  85.84;  86.43
Mato Grosso do Sul;Negra;Todas;Todas;  83.30;  86.15
Mato Grosso do Sul;Todas;10 a 24 anos;Todas;  98.58;  98.88
Mato Grosso do Sul;Todas;25 a 49 anos;Todas;  96.61;  97.57
Mato Grosso do Sul;Todas;50 anos ou mais;Todas;  84.68;  83.76
Mato Grosso do Sul;Todas;Todas;Rural;  80.11;  84.44
Mato Grosso do Sul;Todas;Todas;Urbana;  85.08;  86.56
Minas Gerais;Branca;Todas;Todas;  87.12;  88.52
Minas Gerais;Negra;Todas;Todas;  84.99;  85.71
Minas Gerais;Todas;10 a 24 anos;Todas;  98.88;  99.47
Minas Gerais;Todas;25 a 49 anos;Todas;  95.96;  97.54
Minas Gerais;Todas;50 anos ou mais;Todas;  84.40;  82.94
Minas Gerais;Todas;Todas;Rural;  79.32;  79.85
Minas Gerais;Todas;Todas;Urbana;  87.13;  88.07
Pará;Branca;Todas;Todas;  81.16;  81.06
Pará;Negra;Todas;Todas;  78.58;  81.62
Pará;Todas;10 a 24 anos;Todas;  96.86;  98.60
Pará;Todas;25 a 49 anos;Todas;  91.61;  95.15
Pará;Todas;50 anos ou mais;Todas;  74.32;  75.76
Pará;Todas;Todas;Rural;  72.16;  76.09
Pará;Todas;Todas;Urbana;  82.16;  83.52
Paraíba;Branca;Todas;Todas;  75.76;  81.70
Paraíba;Negra;Todas;Todas;  72.46;  78.81
Paraíba;Todas;10 a 24 anos;Todas;  95.94;  98.46
Paraíba;Todas;25 a 49 anos;Todas;  81.99;  91.61
Paraíba;Todas;50 anos ou mais;Todas;  59.47;  70.44
Paraíba;Todas;Todas;Rural;  57.37;  72.31
Paraíba;Todas;Todas;Urbana;  77.58;  81.37
Paraná;Branca;Todas;Todas;  88.21;  89.21
Paraná;Negra;Todas;Todas;  86.89;  85.83
Paraná;Todas;10 a 24 anos;Todas;  99.25;  99.53
Paraná;Todas;25 a 49 anos;Todas;  97.24;  97.79
Paraná;Todas;50 anos ou mais;Todas;  90.34;  87.45
Paraná;Todas;Todas;Rural;  85.22;  85.88
Paraná;Todas;Todas;Urbana;  88.27;  88.61
Pernambuco;Branca;Todas;Todas;  80.00;  83.33
Pernambuco;Negra;Todas;Todas;  77.27;  79.26
Pernambuco;Todas;10 a 24 anos;Todas;  97.09;  98.52
Pernambuco;Todas;25 a 49 anos;Todas;  87.32;  91.44
Pernambuco;Todas;50 anos ou mais;Todas;  69.73;  71.01
Pernambuco;Todas;Todas;Rural;  64.86;  70.00
Pernambuco;Todas;Todas;Urbana;  81.33;  83.00
Piauí;Branca;Todas;Todas;  70.40;  78.87
Piauí;Negra;Todas;Todas;  69.85;  75.51
Piauí;Todas;10 a 24 anos;Todas;  94.59;  98.93
Piauí;Todas;25 a 49 anos;Todas;  79.57;  88.70
Piauí;Todas;50 anos ou mais;Todas;  55.90;  59.85
Piauí;Todas;Todas;Rural;  60.66;  67.61
Piauí;Todas;Todas;Urbana;  74.85;  80.31
Rio de Janeiro;Branca;Todas;Todas;  90.54;  91.41
Rio de Janeiro;Negra;Todas;Todas;  88.93;  89.21
Rio de Janeiro;Todas;10 a 24 anos;Todas;  99.22;  99.61
Rio de Janeiro;Todas;25 a 49 anos;Todas;  98.12;  98.78
Rio de Janeiro;Todas;50 anos ou mais;Todas;  94.32;  92.85
Rio de Janeiro;Todas;Todas;Rural;  82.30;  84.11
Rio de Janeiro;Todas;Todas;Urbana;  89.91;  90.45
Rio Grande do Norte;Branca;Todas;Todas;  75.50;  80.29
Rio Grande do Norte;Negra;Todas;Todas;  74.61;  79.40
Rio Grande do Norte;Todas;10 a 24 anos;Todas;  97.00;  98.20
Rio Grande do Norte;Todas;25 a 49 anos;Todas;  83.26;  89.37
Rio Grande do Norte;Todas;50 anos ou mais;Todas;  62.20;  70.99
Rio Grande do Norte;Todas;Todas;Rural;  64.49;  73.74
Rio Grande do Norte;Todas;Todas;Urbana;  78.42;  81.50
Rio Grande do Sul;Branca;Todas;Todas;  89.13;  89.80
Rio Grande do Sul;Negra;Todas;Todas;  86.71;  86.36
Rio Grande do Sul;Todas;10 a 24 anos;Todas;  99.01;  99.61
Rio Grande do Sul;Todas;25 a 49 anos;Todas;  97.89;  98.27
Rio Grande do Sul;Todas;50 anos ou mais;Todas;  91.04;  90.68
Rio Grande do Sul;Todas;Todas;Rural;  87.26;  86.47
Rio Grande do Sul;Todas;Todas;Urbana;  88.93;  89.53
Rondônia;Branca;Todas;Todas;  83.24;  81.19
Rondônia;Negra;Todas;Todas;  83.34;  85.27
Rondônia;Todas;10 a 24 anos;Todas;  98.95;  99.45
Rondônia;Todas;25 a 49 anos;Todas;  95.92;  96.31
Rondônia;Todas;50 anos ou mais;Todas;  76.62;  74.02
Rondônia;Todas;Todas;Rural;  80.68;  82.44
Rondônia;Todas;Todas;Urbana;  84.23;  84.40
Roraima;Branca;Todas;Todas;  83.62;  80.81
Roraima;Negra;Todas;Todas;  81.60;  81.56
Roraima;Todas;10 a 24 anos;Todas;  98.75;  99.44
Roraima;Todas;25 a 49 anos;Todas;  93.70;  95.73
Roraima;Todas;50 anos ou mais;Todas;  80.96;  77.52
Roraima;Todas;Todas;Rural;  80.00;  73.43
Roraima;Todas;Todas;Urbana;  82.26;  82.47
Santa Catarina;Branca;Todas;Todas;  89.52;  90.60
Santa Catarina;Negra;Todas;Todas;  89.63;  87.09
Santa Catarina;Todas;10 a 24 anos;Todas;  99.37;  99.91
Santa Catarina;Todas;25 a 49 anos;Todas;  98.83;  98.83
Santa Catarina;Todas;50 anos ou mais;Todas;  92.87;  91.28
Santa Catarina;Todas;Todas;Rural;  87.59;  88.03
Santa Catarina;Todas;Todas;Urbana;  89.87;  90.50
São Paulo;Branca;Todas;Todas;  89.48;  89.49
São Paulo;Negra;Todas;Todas;  89.21;  88.20
São Paulo;Todas;10 a 24 anos;Todas;  99.32;  99.69
São Paulo;Todas;25 a 49 anos;Todas;  97.91;  98.45
São Paulo;Todas;50 anos ou mais;Todas;  93.36;  90.17
São Paulo;Todas;Todas;Rural;  85.46;  85.24
São Paulo;Todas;Todas;Urbana;  89.60;  89.21
Sergipe;Branca;Todas;Todas;  73.85;  79.20
Sergipe;Negra;Todas;Todas;  75.39;  79.21
Sergipe;Todas;10 a 24 anos;Todas;  96.46;  98.40
Sergipe;Todas;25 a 49 anos;Todas;  83.14;  89.92
Sergipe;Todas;50 anos ou mais;Todas;  64.77;  64.62
Sergipe;Todas;Todas;Rural;  63.04;  68.61
Sergipe;Todas;Todas;Urbana;  79.94;  83.30
Tocantins;Branca;Todas;Todas;  85.44;  84.22
Tocantins;Negra;Todas;Todas;  78.29;  79.77
Tocantins;Todas;10 a 24 anos;Todas;  98.85;  98.95
Tocantins;Todas;25 a 49 anos;Todas;  91.79;  95.11
Tocantins;Todas;50 anos ou mais;Todas;  68.34;  70.42
Tocantins;Todas;Todas;Rural;  72.49;  75.39
Tocantins;Todas;Todas;Urbana;  82.04;  82.13
Todas as UFs;Branca;Todas;Todas;  86.61;  87.59
Todas as UFs;Negra;Todas;Todas;  81.60;  83.15
Todas as UFs;Todas;10 a 24 anos;Todas;  98.16;  99.14
Todas as UFs;Todas;25 a 49 anos;Todas;  93.62;  96.03
Todas as UFs;Todas;50 anos ou mais;Todas;  82.72;  82.25
Todas as UFs;Todas;Todas;Rural;  72.46;  75.75
Todas as UFs;Todas;Todas;Urbana;  86.01;  86.78
Bahia;Total;Todas;Todas;  77.56;  80.06
Ceará;Total;Todas;Todas;  75.81;  80.20
Distrito Federal;Total;Todas;Todas;  88.91;  89.87
Espírito Santo;Total;Todas;Todas;  86.24;  86.25
Goiás;Total;Todas;Todas;  85.03;  85.51
Maranhão;Total;Todas;Todas;  70.48;  74.11
Mato Grosso;Total;Todas;Todas;  84.60;  84.94
Mato Grosso do Sul;Total;Todas;Todas;  84.48;  86.28
Minas Gerais;Total;Todas;Todas;  85.87;  86.95
Pará;Total;Todas;Todas;  79.08;  81.50
Paraíba;Total;Todas;Todas;  73.65;  79.88
Paraná;Total;Todas;Todas;  87.78;  88.18
Pernambuco;Total;Todas;Todas;  78.14;  80.68
Piauí;Total;Todas;Todas;  69.98;  76.33
Rio de Janeiro;Total;Todas;Todas;  89.67;  90.28
Rio Grande do Norte;Total;Todas;Todas;  74.96;  79.77
Rio Grande do Sul;Total;Todas;Todas;  88.63;  89.14
Rondônia;Total;Todas;Todas;  83.31;  83.96
Roraima;Total;Todas;Todas;  82.07;  81.38
Santa Catarina;Total;Todas;Todas;  89.54;  90.10
São Paulo;Total;Todas;Todas;  89.37;  89.02
Sergipe;Total;Todas;Todas;  75.02;  79.21
Tocantins;Total;Todas;Todas;  79.80;  80.79
Todas as UFs;Total;Todas;Todas;  83.84;  85.24
