"UF";"Faixa Etária";"Homens";"Mulheres"
"Acre";"10 a 14 anos";"  94.70";"  95.15"
"Acre";"15 a 24 anos";"  97.16";"  97.56"
"Acre";"25 a 49 anos";"  87.47";"  89.79"
"Acre";"50 anos ou mais";"  68.75";"  68.26"
"Alagoas";"10 a 14 anos";"  93.26";"  95.80"
"Alagoas";"15 a 24 anos";"  94.81";"  97.98"
"Alagoas";"25 a 49 anos";"  77.20";"  83.90"
"Alagoas";"50 anos ou mais";"  54.93";"  55.32"
"Amapá";"10 a 14 anos";"  99.29";"  97.97"
"Amapá";"15 a 24 anos";"  98.99";"  99.67"
"Amapá";"25 a 49 anos";"  97.13";"  97.74"
"Amapá";"50 anos ou mais";"  89.47";"  83.00"
"Amazonas";"10 a 14 anos";"  97.64";"  98.85"
"Amazonas";"15 a 24 anos";"  98.92";"  98.79"
"Amazonas";"25 a 49 anos";"  95.78";"  97.65"
"Amazonas";"50 anos ou mais";"  80.75";"  81.70"
"Bahia";"10 a 14 anos";"  95.30";"  98.03"
"Bahia";"15 a 24 anos";"  97.02";"  98.34"
"Bahia";"25 a 49 anos";"  88.20";"  93.78"
"Bahia";"50 anos ou mais";"  68.27";"  66.40"
"Ceará";"10 a 14 anos";"  96.89";"  98.58"
"Ceará";"15 a 24 anos";"  97.87";"  98.94"
"Ceará";"25 a 49 anos";"  84.66";"  91.63"
"Ceará";"50 anos ou mais";"  61.25";"  70.69"
"Distrito Federal";"10 a 14 anos";"  99.24";"  99.40"
"Distrito Federal";"15 a 24 anos";"  99.39";"  99.86"
"Distrito Federal";"25 a 49 anos";"  98.02";"  99.16"
"Distrito Federal";"50 anos ou mais";"  93.45";"  92.27"
"Espírito Santo";"10 a 14 anos";"  98.90";"  99.60"
"Espírito Santo";"15 a 24 anos";"  99.08";"  99.59"
"Espírito Santo";"25 a 49 anos";"  96.72";"  97.39"
"Espírito Santo";"50 anos ou mais";"  86.51";"  82.25"
"Goiás";"10 a 14 anos";"  98.68";"  99.82"
"Goiás";"15 a 24 anos";"  99.04";"  99.66"
"Goiás";"25 a 49 anos";"  95.52";"  97.19"
"Goiás";"50 anos ou mais";"  82.21";"  79.66"
"Maranhão";"10 a 14 anos";"  93.33";"  97.62"
"Maranhão";"15 a 24 anos";"  96.69";"  98.34"
"Maranhão";"25 a 49 anos";"  80.79";"  89.14"
"Maranhão";"50 anos ou mais";"  54.86";"  58.05"
"Mato Grosso";"10 a 14 anos";"  99.09";"  99.34"
"Mato Grosso";"15 a 24 anos";"  99.68";"  99.15"
"Mato Grosso";"25 a 49 anos";"  95.14";"  96.62"
"Mato Grosso";"50 anos ou mais";"  80.88";"  82.93"
