"UF";"situação domicílio";"Homens";"Mulheres"
"Acre";"Rural";"  75.99";"  78.80"
"Acre";"Urbana";"  70.91";"  72.35"
"Alagoas";"Rural";"  68.66";"  73.23"
"Alagoas";"Urbana";"  73.35";"  74.83"
"Amapá";"Rural";"  84.45";"  83.72"
"Amapá";"Urbana";"  86.44";"  82.41"
"Amazonas";"Rural";"  82.87";"  83.92"
"Amazonas";"Urbana";"  79.46";"  80.11"
"Bahia";"Rural";"  77.52";"  80.06"
"Bahia";"Urbana";"  77.87";"  80.13"
"Ceará";"Rural";"  74.99";"  80.00"
"Ceará";"Urbana";"  77.80";"  80.58"
"Distrito Federal";"Rural";"  89.22";"  90.50"
"Distrito Federal";"Urbana";"  88.52";"  89.19"
"Espírito Santo";"Rural";"  85.08";"  85.17"
"Espírito Santo";"Urbana";"  88.00";"  87.85"
"Goiás";"Rural";"  84.45";"  84.79"
"Goiás";"Urbana";"  86.05";"  86.62"
"Maranhão";"Rural";"  69.24";"  73.53"
"Maranhão";"Urbana";"  75.59";"  75.40"
"Mato Grosso";"Rural";"  83.78";"  83.90"
"Mato Grosso";"Urbana";"  86.27";"  86.64"
"Mato Grosso do Sul";"Rural";"  83.34";"  86.27"
"Mato Grosso do Sul";"Urbana";"  85.83";"  86.43"
"Minas Gerais";"Rural";"  84.99";"  85.73"
"Minas Gerais";"Urbana";"  87.05";"  88.34"
"Pará";"Rural";"  78.59";"  81.64"
"Pará";"Urbana";"  80.24";"  80.91"
"Paraíba";"Rural";"  72.42";"  78.87"
"Paraíba";"Urbana";"  75.33";"  81.51"
"Paraná";"Rural";"  87.14";"  86.24"
"Paraná";"Urbana";"  88.22";"  89.21"
"Pernambuco";"Rural";"  77.30";"  79.31"
"Pernambuco";"Urbana";"  79.43";"  83.24"
"Piauí";"Rural";"  69.85";"  75.51"
"Piauí";"Urbana";"  70.57";"  78.98"
"Rio de Janeiro";"Rural";"  88.96";"  89.23"
"Rio de Janeiro";"Urbana";"  90.56";"  91.40"
"Rio Grande do Norte";"Rural";"  74.61";"  79.40"
"Rio Grande do Norte";"Urbana";"  75.60";"  80.24"
"Rio Grande do Sul";"Rural";"  86.80";"  86.39"
"Rio Grande do Sul";"Urbana";"  89.15";"  89.75"
"Rondônia";"Rural";"  83.36";"  85.29"
"Rondônia";"Urbana";"  83.27";"  81.21"
"Roraima";"Rural";"  81.60";"  81.60"
"Roraima";"Urbana";"  82.53";"  79.61"
"Santa Catarina";"Rural";"  89.31";"  87.36"
"Santa Catarina";"Urbana";"  89.52";"  90.61"
"São Paulo";"Rural";"  89.37";"  88.43"
"São Paulo";"Urbana";"  89.49";"  89.48"
"Sergipe";"Rural";"  75.45";"  79.30"
"Sergipe";"Urbana";"  73.76";"  79.28"
"Tocantins";"Rural";"  78.27";"  79.78"
"Tocantins";"Urbana";"  85.46";"  84.24"
"Todas as UFs";"Rural";"  81.69";"  83.25"
"Todas as UFs";"Urbana";"  86.51";"  87.49"
