UF;Raça/Cor;Faixa Etária;Situação do Domicílio;Homens;Mulheres
Acre;Todas;Todas;Rural;  76.37;  75.19
Acre;Branca;Todas;Todas;  92.33;  93.03
Acre;Negra;Todas;Todas;  87.28;  89.01
Acre;Todas;10 a 24 anos;Todas;  96.18;  96.66
Acre;Todas;25 a 49 anos;Todas;  87.47;  89.79
Acre;Todas;50 anos ou mais;Todas;  68.75;  68.26
Acre;Total;Todas;Todas;  88.33;  89.89
Acre;Todas;Todas;Urbana;  91.80;  92.22
Alagoas;Todas;Todas;Rural;  66.34;  74.62
Alagoas;Branca;Todas;Todas;  84.69;  82.87
Alagoas;Negra;Todas;Todas;  76.13;  80.62
Alagoas;Todas;10 a 24 anos;Todas;  94.30;  97.27
Alagoas;Todas;25 a 49 anos;Todas;  77.20;  83.90
Alagoas;Todas;50 anos ou mais;Todas;  54.93;  55.32
Alagoas;Total;Todas;Todas;  78.38;  81.28
Alagoas;Todas;Todas;Urbana;  82.80;  83.36
Amapá;Todas;Todas;Rural;  88.18;  88.57
Amapá;Branca;Todas;Todas;  98.33;  97.21
Amapá;Negra;Todas;Todas;  95.95;  95.27
Amapá;Todas;10 a 24 anos;Todas;  99.09;  99.12
Amapá;Todas;25 a 49 anos;Todas;  97.13;  97.74
Amapá;Todas;50 anos ou mais;Todas;  89.47;  83.00
Amapá;Total;Todas;Todas;  96.56;  95.74
Amapá;Todas;Todas;Urbana;  97.43;  96.48
Amazonas;Todas;Todas;Rural;  87.45;  90.05
Amazonas;Branca;Todas;Todas;  96.10;  96.10
Amazonas;Negra;Todas;Todas;  93.51;  94.63
Amazonas;Todas;10 a 24 anos;Todas;  98.48;  98.82
Amazonas;Todas;25 a 49 anos;Todas;  95.78;  97.65
Amazonas;Todas;50 anos ou mais;Todas;  80.75;  81.70
Amazonas;Total;Todas;Todas;  94.01;  94.98
Amazonas;Todas;Todas;Urbana;  95.20;  95.44
Bahia;Todas;Todas;Rural;  71.85;  75.17
Bahia;Branca;Todas;Todas;  87.43;  88.38
Bahia;Negra;Todas;Todas;  85.11;  86.86
Bahia;Todas;10 a 24 anos;Todas;  96.42;  98.23
Bahia;Todas;25 a 49 anos;Todas;  88.20;  93.78
Bahia;Todas;50 anos ou mais;Todas;  68.27;  66.40
Bahia;Total;Todas;Todas;  85.55;  87.17
Bahia;Todas;Todas;Urbana;  90.38;  90.45
Ceará;Todas;Todas;Rural;  69.05;  80.92
Ceará;Branca;Todas;Todas;  87.28;  90.72
Ceará;Negra;Todas;Todas;  80.77;  86.03
Ceará;Todas;10 a 24 anos;Todas;  97.54;  98.83
Ceará;Todas;25 a 49 anos;Todas;  84.66;  91.63
Ceará;Todas;50 anos ou mais;Todas;  61.25;  70.69
Ceará;Total;Todas;Todas;  82.61;  87.45
Ceará;Todas;Todas;Urbana;  87.45;  89.28
Distrito Federal;Todas;Todas;Rural;  94.44;  94.15
Distrito Federal;Branca;Todas;Todas;  97.85;  98.15
Distrito Federal;Negra;Todas;Todas;  97.12;  96.96
Distrito Federal;Todas;10 a 24 anos;Todas;  99.34;  99.72
Distrito Federal;Todas;25 a 49 anos;Todas;  98.02;  99.16
Distrito Federal;Todas;50 anos ou mais;Todas;  93.45;  92.27
Distrito Federal;Total;Todas;Todas;  97.41;  97.47
Distrito Federal;Todas;Todas;Urbana;  97.56;  97.59
Espírito Santo;Todas;Todas;Rural;  90.50;  89.02
Espírito Santo;Branca;Todas;Todas;  96.08;  94.59
Espírito Santo;Negra;Todas;Todas;  93.64;  92.50
Espírito Santo;Todas;10 a 24 anos;Todas;  99.02;  99.59
