"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
120010;BRASILÉIA;AC;Centro Especializado de Atendimento à Mulher (CEAM) - Brasiléia;Rua José Kairala, nº 42, Referência: Ao lado da Escola José Kairala - Centro;Estadual
120020;CRUZEIRO DO SUL;AC;Centro de Referência Vitória Régia para Mulheres em Situação de Violência do Juruá - Cruzeiro do Sul;Rua Rui Barbosa, nº 236 - Centro;Esdadual
120040;RIO BRANCO;AC;Centro de Referência para Mulheres em Situação de Violência - Casa Rosa Mulher - Rio Branco;Rua Novo Andirá, nº 339 - Cidade Nova;Municipal
120050;SENA MADUREIRA;AC;Centro Especializado de Atendimento a Mulher (CEAM) - Sena Madureira;Rua Quintino Bocaiúva, nº 1451 - Bosque;Estadual
120030;FEIJÓ;AC;Centro de Referência e Apoio a Mulher Francisca Aleixo Cordeiro (CRAM) - Feijó;Avenida Plácido de Castro, nº 579 - Centro;Municipal
270030;ARAPIRACA;AL;Centro de Referência e Atendimento à Mulher em Situação de Violência (CRAMSV) - Arapiraca ;Rua Padre Jeferson de Carvalho, nº 198 - Alto do Cruzeiro;Municipal
270430;MACEIÓ;AL;Centro de Atendimento e Referência para às Mulheres Vitima de Violência Doméstica Doutora Terezinha Ramires - Maceió ;Avenida Deputado Humberto Mendes, s/nº - Referência: dentro do Posto de Saúde PAM Salgadinho - Poço;Municipal
270430;MACEIÓ;AL;Centro Especializado de Atendimento à Mulher em Situação de Violência (CEAM) Jarede Viana - Maceió ;Rua Augusto Cardoso, s/nº - Jatiúca;Estadual
130260;MANAUS;AM;Centro de Referência Estadual de Apoio à Mulher (CREAM) - Manaus  ;Avenida Presidente Kennedy, nº 399  - Educandos;Estadual
130260;MANAUS;AM;Serviço de Apoio Emergencial a Mulher (SAPEM) - Manaus   ;Avenida Mário Ipiranga Monteiro, nº 3395, Conjunto Eldorado - Parque 10 de Novembro;Estadual
160027;LARANJAL DO JARI;AP;Centro de Referência de Atendimento a Mulher - A Mulher Tem a Força na Alma - Larnajal do Jarí;Rua Alvorada, nº 956 - Agreste;Estaual
160030;MACAPÁ;AP;Centro de Atendimento à Mulher e a Família (CAMUF) - Macapá ;Rua Rio Juruá, n° 816 - Centro;Estadual
160030;MACAPÁ;AP;Centro de Referência e Atendimento à Mulher (CRAM) Bem-Me-Quer - Macapá;Rua São José, nº 11 (Esquina com a Avenida FAB) - Centro;Estadual
160030;MACAPÁ;AP;Centro de Referência e Atendimento à Mulher (CRAM) Izaura Pereira Góes da Silva - Macapá ;Avenida Procópio Rola, nº 685 - Zona Sul - Novo Buritizal;Municipal
160030;MACAPÁ;AP;Centro de Referência e Atendimento a Mulher (CRAM) Janice Azevedo Melo dos Santos Palmerim - Macapá ;Rua Roma, nº 2147 Referência : Próximo a Igreja Católica - Zona Norte - Renascer II;Municipal
160053;PORTO GRANDE;AP;Centro de Referência de Atendimento à Mulher - Desperta Mulher - Porto Grande;Rua Joaquim Frazão de Araujo, s/nº 2º Andar Referência: em frente à Assembléia de Deus;Estadual
160060;SANTANA;AP;Centro de Referência de Atendimento à Mulher (CRAM) - Santana ;Avenida Castro Alves, nº 2690 - Referência : Ao lado da Escola Municipal Padre Ângelo Biraghi;Municipal
290010;ABAÍRA;BA;Centro de Referência da Mulher (CRM) Rosane Silva Rodrigues - Abaíra;Praça Francisco Pereira, nº 25;Municipal
290070;ALAGOINHAS;BA;Centro de Referência de Atendimento à Mulher (CRAM) Maura Cardoso de Castro - Alagoinhas   ;4ª Travessa Parque São Benedito, nº 17;Municipal
2905701;CAMAÇARI;BA;Centro de Referência da Mulher (CRM) Yolanda Pires - Camaçari   ;Rua da Ambrósia, s/nº;Municipal
290650;CANDEIAS;BA;Núcleo de Apoio a Mulher (NAM) - Candeias   ;Rua 31 de março, nº 100;Municipal
290685;CAPELA DO ALTO ALEGRE;BA;Núcleo de Atendimento à Mulher (NAM) - Capela do Alto Alegre  ;Praça Antonio Dionizio de Oliveira, s/nº;Municipal
290980;CRUZ DAS ALMAS;BA;Centro Regional de Referência da Mulher - (CRRM) Maria Joaquina - Cruz das Almas   ;Rua Desidério Brandão, nº 180;Municipal
291080;FEIRA DE SANTANA;BA;Centro de Referência da Mulher (CRM) Maria Quitéria - Feira de Santana  ;Rua Paris, nº 97;Municipal
291460;IRECÊ;BA;"Centro de Referência da Mulher (CRM)
 Ana Joaquina de Castro Dourado - Irecê   
";Rua São Camilo, nº 29;Municipal
291640;ITAPETINGA;BA;Centro de Referência da Mulher (CRM) Médio Sudoeste da Bahia - Itapetinga;Rua Góes Calmon, nº 57;Municipal
291800;JEQUIÉ;BA;Centro Regional de Referência à Mulher  - (CRRM) - Jequié   ;Rua Lídio Montal, nº 234 - Loteamento Novo Horizonte ;Municipal
291840;JUAZEIRO;BA;Centro Integrado de Atendimento à Mulher (CIAM) - Juazeiro  ;Avenida Luiz Inácio Lula da Silva, s/nº;Municipal
291920;LAURO DE FREITAS;BA;Centro de Referência de Atendimento à Mulher (CRAM) - Lélia González - Lauro de Freitas;Rua Praia de Pajuçara, s/nº -;Municipal
292060;MARAGOGIPE;BA;Centro de Referência de Apoio à Mulher (CRAM) - Dona Maria Salomé - Maragogipe;Praça 15 de Novembro, nº 18;Municipal
292400;PAULO AFONSO;BA;Centro de Referência da Mulher (CRM) Eudócia Antunes de Assis - Paulo Afonso;Avenida Antonio Carlos Magalhães, s/nº;Municipal
292740;SALVADOR;BA;Centro de Referência de Atendimento à Mulher (CRAM) Loreta Valadares - Salvador   ;Praça Almirante Coelho Neto, nº 01;Municipal
292975;SAUBARA;BA;Núcleo de Atenção à Mulher Maria da Cruz dos Santos (NAM) - Saubara;Rua Luís Gonzaga de Brito,   nº 5;Municipal
