UF;Relação;Relatos
Acre;Companheiro;314
Acre;Ex-companheiro;91
Acre;Familiares;131
Acre;Pessoa do convívio interpessoal;31
Acre;Pessoa do convívio de trabalho;0
Acre;Pessoas desconhecidas;1
Acre;Outros;35
Alagoas;Companheiro;2354
Alagoas;Ex-companheiro;943
Alagoas;Familiares;581
Alagoas;Pessoa do convívio interpessoal;363
Alagoas;Pessoa do convívio de trabalho;6
Alagoas;Pessoas desconhecidas;60
Alagoas;Outros;146
Amapá;Companheiro;337
Amapá;Ex-companheiro;71
Amapá;Familiares;16
Amapá;Pessoa do convívio interpessoal;17
Amapá;Pessoa do convívio de trabalho;11
Amapá;Pessoas desconhecidas;7
Amapá;Outros;4
Amazonas;Companheiro;387
Amazonas;Ex-companheiro;52
Amazonas;Familiares;93
Amazonas;Pessoa do convívio interpessoal;13
Amazonas;Pessoa do convívio de trabalho;0
Amazonas;Pessoas desconhecidas;6
Amazonas;Outros;27
Bahia;Companheiro;10194
Bahia;Ex-companheiro;4197
Bahia;Familiares;2348
Bahia;Pessoa do convívio interpessoal;1544
Bahia;Pessoa do convívio de trabalho;79
Bahia;Pessoas desconhecidas;267
Bahia;Outros;764
Ceará;Companheiro;1166
Ceará;Ex-companheiro;394
Ceará;Familiares;449
Ceará;Pessoa do convívio interpessoal;167
Ceará;Pessoa do convívio de trabalho;13
Ceará;Pessoas desconhecidas;47
Ceará;Outros;144
Distrito Federal;Companheiro;4214
Distrito Federal;Ex-companheiro;1641
Distrito Federal;Familiares;1111
Distrito Federal;Pessoa do convívio interpessoal;386
Distrito Federal;Pessoa do convívio de trabalho;80
Distrito Federal;Pessoas desconhecidas;99
Distrito Federal;Outros;348
Espírito Santo;Companheiro;3321
Espírito Santo;Ex-companheiro;1406
Espírito Santo;Familiares;1047
Espírito Santo;Pessoa do convívio interpessoal;482
Espírito Santo;Pessoa do convívio de trabalho;28
Espírito Santo;Pessoas desconhecidas;112
Espírito Santo;Outros;283
Goiás;Companheiro;5579
Goiás;Ex-companheiro;1907
Goiás;Familiares;1284
Goiás;Pessoa do convívio interpessoal;509
Goiás;Pessoa do convívio de trabalho;49
Goiás;Pessoas desconhecidas;98
Goiás;Outros;427
Maranhão;Companheiro;4317
Maranhão;Ex-companheiro;1348
Maranhão;Familiares;959
Maranhão;Pessoa do convívio interpessoal;587
Maranhão;Pessoa do convívio de trabalho;30
Maranhão;Pessoas desconhecidas;68
Maranhão;Outros;266
Mato Grosso;Companheiro;1791
Mato Grosso;Ex-companheiro;627
Mato Grosso;Familiares;478
Mato Grosso;Pessoa do convívio interpessoal;239
Mato Grosso;Pessoa do convívio de trabalho;16
Mato Grosso;Pessoas desconhecidas;15
Mato Grosso;Outros;177
Mato Grosso do Sul;Companheiro;3463
Mato Grosso do Sul;Ex-companheiro;1488
Mato Grosso do Sul;Familiares;871
Mato Grosso do Sul;Pessoa do convívio interpessoal;316
Mato Grosso do Sul;Pessoa do convívio de trabalho;45
Mato Grosso do Sul;Pessoas desconhecidas;92
Mato Grosso do Sul;Outros;232
Minas Gerais;Companheiro;12943
Minas Gerais;Ex-companheiro;5488
Minas Gerais;Familiares;3981
Minas Gerais;Pessoa do convívio interpessoal;1615
Minas Gerais;Pessoa do convívio de trabalho;85
Minas Gerais;Pessoas desconhecidas;279
Minas Gerais;Outros;1088
Pará;Companheiro;4754
Pará;Ex-companheiro;1375
Pará;Familiares;1120
Pará;Pessoa do convívio interpessoal;612
Pará;Pessoa do convívio de trabalho;148
Pará;Pessoas desconhecidas;109
Pará;Outros;261
Paraíba;Companheiro;2068
Paraíba;Ex-companheiro;781
Paraíba;Familiares;542
Paraíba;Pessoa do convívio interpessoal;420
Paraíba;Pessoa do convívio de trabalho;20
Paraíba;Pessoas desconhecidas;33
Paraíba;Outros;175
Paraná;Companheiro;7494
Paraná;Ex-companheiro;2773
Paraná;Familiares;1767
Paraná;Pessoa do convívio interpessoal;667
Paraná;Pessoa do convívio de trabalho;57
Paraná;Pessoas desconhecidas;210
Paraná;Outros;588
Pernambuco;Companheiro;4744
Pernambuco;Ex-companheiro;2023
Pernambuco;Familiares;1546
Pernambuco;Pessoa do convívio interpessoal;704
Pernambuco;Pessoa do convívio de trabalho;30
Pernambuco;Pessoas desconhecidas;77
Pernambuco;Outros;294
Piauí;Companheiro;2868
Piauí;Ex-companheiro;775
Piauí;Familiares;564
Piauí;Pessoa do convívio interpessoal;345
Piauí;Pessoa do convívio de trabalho;9
Piauí;Pessoas desconhecidas;47
Piauí;Outros;186
Rio de Janeiro;Companheiro;20795
Rio de Janeiro;Ex-companheiro;10999
Rio de Janeiro;Familiares;5946
Rio de Janeiro;Pessoa do convívio interpessoal;2171
Rio de Janeiro;Pessoa do convívio de trabalho;168
Rio de Janeiro;Pessoas desconhecidas;284
Rio de Janeiro;Outros;1814
Rio Grande do Norte;Companheiro;2031
Rio Grande do Norte;Ex-companheiro;785
Rio Grande do Norte;Familiares;953
Rio Grande do Norte;Pessoa do convívio interpessoal;349
Rio Grande do Norte;Pessoa do convívio de trabalho;11
Rio Grande do Norte;Pessoas desconhecidas;32
Rio Grande do Norte;Outros;214
Rio Grande do Sul;Companheiro;6908
Rio Grande do Sul;Ex-companheiro;3110
Rio Grande do Sul;Familiares;2254
Rio Grande do Sul;Pessoa do convívio interpessoal;916
Rio Grande do Sul;Pessoa do convívio de trabalho;101
Rio Grande do Sul;Pessoas desconhecidas;117
Rio Grande do Sul;Outros;461
Rondônia;Companheiro;960
Rondônia;Ex-companheiro;263
Rondônia;Familiares;228
Rondônia;Pessoa do convívio interpessoal;111
Rondônia;Pessoa do convívio de trabalho;0
Rondônia;Pessoas desconhecidas;5
Rondônia;Outros;99
Roraima;Companheiro;75
Roraima;Ex-companheiro;60
Roraima;Familiares;32
Roraima;Pessoa do convívio interpessoal;21
Roraima;Pessoa do convívio de trabalho;6
Roraima;Pessoas desconhecidas;0
Roraima;Outros;24
Santa Catarina;Companheiro;2716
Santa Catarina;Ex-companheiro;697
Santa Catarina;Familiares;727
Santa Catarina;Pessoa do convívio interpessoal;278
Santa Catarina;Pessoa do convívio de trabalho;31
Santa Catarina;Pessoas desconhecidas;72
Santa Catarina;Outros;196
São Paulo;Companheiro;23420
São Paulo;Ex-companheiro;9243
São Paulo;Familiares;6826
São Paulo;Pessoa do convívio interpessoal;3996
São Paulo;Pessoa do convívio de trabalho;334
São Paulo;Pessoas desconhecidas;684
São Paulo;Outros;2256
Sergipe;Companheiro;1483
Sergipe;Ex-companheiro;505
Sergipe;Familiares;532
Sergipe;Pessoa do convívio interpessoal;211
Sergipe;Pessoa do convívio de trabalho;14
