"UF";"MUNICÍPIO";"Estabelecimento";"Endereço";"telefone";"Cod IBGE";"HORÁRIO DE FUNCIONAMENTO"
"GO";"ITUMBIARA";"CAIS ";"RUA AMADEU MACHADO FILHO, S/N, ANHANGUERA";"(64) 3433-0495";521150;"NI"
"MT";"BARRA DO GARCAS";"CENTRO DE REFERENCIA REGIONAL DE ESPECIALIDADE EM SAUDE";"RUA PRESIDENTE VARGAS, 55, CENTRO";"NI";510180;"SEG A SEX 7H ÀS 17H"
"PE";"RECIFE";"CENTRO INTEGRADO DE SAUDE AMAURI DE MEDEIROS CISAM";"AV VISCONDE MAMANGUAPE, S/N, ENCRUZILHADA";"(81)3182-7700";261160;"NI"
"SP";"SOROCABA";"CONJUNTO HOSPITALAR SOROCABA";"AV COMENDADOR PEREIRA INACIO, 564, LAGEADO";"(15) 3332-9121";355220;"Sempre aberto"
"SP";"SAO PAULO";"HOSP MUN J SARAH MARIO DEGNI";"RUA LUCAS DE LEYDE, 257, VILA ANTONIO";"(11)3394-7810";355030;"Sempre aberto"
"SP";"SAO PAULO";"HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA";"AV DEP EMILIO CARLOS, 3100, VILA NOVA CACHOEIRINHA";"(11)3986-1085";355030;"Sempre aberto"
"MS";"DOURADOS";"HOSP UNIVERSITARIO DA UFGD DOURADOS MS";"RUA GERONIMO MARQUES MATOS, 558, ALTOS DO INDAIA";"(67)3426- 5000";500370;"NI"
"PE";"RECIFE";"HOSPITAL AGAMENON MAGALHAES";"STRADA DO ARRAIAL, 2723, CASA AMARELA";"(81)3184-1601";261160;"NI"
"SP";"SANTO ANDRE";"HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN";"RUA AMERICA DO SUL, 285, PQ NOVO ORATORIO";"(11)4478-5000";354780;"Sempre aberto"
"MG";"BELO HORIZONTE";"HOSPITAL DAS CLINICAS DA UFMG";"AV ALFREDO BALENA, 110, STA. EFIGENIA";"(31)3248-9300";310620;"Sempre aberto"
