UF;Tipos de Violências;Homens;Mulheres
Acre;Física;91;377
Acre;Negligência/ abandono;5;13
Acre;Outros;8;95
Acre;Psicológica/ moral;17;185
Acre;Sexual;10;593
Alagoas;Física;1038;1361
Alagoas;Negligência/ abandono;30;34
Alagoas;Outros;209;499
Alagoas;Psicológica/ moral;43;236
Alagoas;Sexual;33;198
Amapá;Física;128;210
Amapá;Negligência/ abandono;1;1
Amapá;Outros;18;26
Amapá;Psicológica/ moral;6;50
Amapá;Sexual;7;80
Amazonas;Física;776;1346
Amazonas;Negligência/ abandono;108;129
Amazonas;Outros;64;151
Amazonas;Psicológica/ moral;229;1153
Amazonas;Sexual;138;1456
Bahia;Física;3319;4443
Bahia;Negligência/ abandono;93;110
Bahia;Outros;577;713
Bahia;Psicológica/ moral;314;1820
Bahia;Sexual;149;1120
Ceará;Física;952;1040
Ceará;Negligência/ abandono;507;548
Ceará;Outros;160;185
Ceará;Psicológica/ moral;138;523
Ceará;Sexual;34;432
Distrito Federal;Física;293;662
Distrito Federal;Negligência/ abandono;168;233
Distrito Federal;Outros;69;175
Distrito Federal;Psicológica/ moral;81;368
Distrito Federal;Sexual;118;710
Espírito Santo;Física;768;1741
Espírito Santo;Negligência/ abandono;95;110
Espírito Santo;Outros;182;791
Espírito Santo;Psicológica/ moral;83;764
Espírito Santo;Sexual;71;466
Goiás;Física;1721;2059
Goiás;Negligência/ abandono;505;409
Goiás;Outros;210;435
Goiás;Psicológica/ moral;247;759
Goiás;Sexual;118;685
Maranhão;Física;646;1120
Maranhão;Negligência/ abandono;128;100
Maranhão;Outros;56;145
Maranhão;Psicológica/ moral;74;719
Maranhão;Sexual;20;233
Mato Grosso;Física;835;898
Mato Grosso;Negligência/ abandono;21;55
Mato Grosso;Outros;280;302
Mato Grosso;Psicológica/ moral;109;454
Mato Grosso;Sexual;45;366
Mato Grosso do Sul;Física;1478;2853
Mato Grosso do Sul;Negligência/ abandono;1231;1204
Mato Grosso do Sul;Outros;269;693
Mato Grosso do Sul;Psicológica/ moral;213;1008
Mato Grosso do Sul;Sexual;58;482
Minas Gerais;Física;10091;20384
Minas Gerais;Negligência/ abandono;543;750
Minas Gerais;Outros;1379;3458
Minas Gerais;Psicológica/ moral;2017;8474
Minas Gerais;Sexual;435;2668
Pará;Física;414;1703
Pará;Negligência/ abandono;84;125
Pará;Outros;51;364
Pará;Psicológica/ moral;186;1660
Pará;Sexual;222;1430
Paraíba;Física;651;1053
Paraíba;Negligência/ abandono;195;177
Paraíba;Outros;72;271
Paraíba;Psicológica/ moral;98;677
Paraíba;Sexual;11;294
Paraná;Física;3475;7314
Paraná;Negligência/ abandono;3137;2856
Paraná;Outros;649;1621
Paraná;Psicológica/ moral;1174;4752
Paraná;Sexual;352;1967
Pernambuco;Física;1787;5365
Pernambuco;Negligência/ abandono;750;769
Pernambuco;Outros;224;639
Pernambuco;Psicológica/ moral;149;2143
Pernambuco;Sexual;96;1467
Piauí;Física;503;673
Piauí;Negligência/ abandono;172;107
Piauí;Outros;115;257
Piauí;Psicológica/ moral;54;268
Piauí;Sexual;32;496
Rio de Janeiro;Física;4060;9036
Rio de Janeiro;Negligência/ abandono;1764;1780
Rio de Janeiro;Outros;3432;2659
Rio de Janeiro;Psicológica/ moral;1873;5013
Rio de Janeiro;Sexual;219;1720
Rio Grande do Norte;Física;658;1023
Rio Grande do Norte;Negligência/ abandono;30;28
Rio Grande do Norte;Outros;41;111
Rio Grande do Norte;Psicológica/ moral;56;269
Rio Grande do Norte;Sexual;11;162
Rio Grande do Sul;Física;2927;6490
Rio Grande do Sul;Negligência/ abandono;1583;1563
Rio Grande do Sul;Outros;792;1921
Rio Grande do Sul;Psicológica/ moral;998;4909
Rio Grande do Sul;Sexual;335;1597
Rondônia;Física;111;293
Rondônia;Negligência/ abandono;6;13
Rondônia;Outros;14;42
Rondônia;Psicológica/ moral;21;154
Rondônia;Sexual;17;121
Roraima;Física;178;431
Roraima;Negligência/ abandono;15;18
Roraima;Outros;11;44
Roraima;Psicológica/ moral;16;116
Roraima;Sexual;7;174
Santa Catarina;Física;3813;4439
Santa Catarina;Negligência/ abandono;638;815
Santa Catarina;Outros;419;981
Santa Catarina;Psicológica/ moral;499;1574
Santa Catarina;Sexual;150;927
São Paulo;Física;10086;19784
São Paulo;Negligência/ abandono;1248;1256
São Paulo;Outros;1442;3207
São Paulo;Psicológica/ moral;1408;7508
São Paulo;Sexual;611;3533
Sergipe;Física;121;445
Sergipe;Negligência/ abandono;101;95
Sergipe;Outros;11;36
Sergipe;Psicológica/ moral;38;191
Sergipe;Sexual;51;282
Tocantins;Física;575;1181
Tocantins;Negligência/ abandono;90;87
Tocantins;Outros;143;355
Tocantins;Psicológica/ moral;145;663
Tocantins;Sexual;40;621
Todas as UFs;Física;51495;97724
Todas as UFs;Negligência/ abandono;13248;13385
Todas as UFs;Outros;10897;20176
Todas as UFs;Psicológica/ moral;10286;46410
Todas as UFs;Sexual;3390;24280
