UF;Raça/Cor;Taxa de Homicídios
Acre;Branca ;3.20
Acre;Negra;10.40
Acre;Todas as raças;8.30
Alagoas;Branca;3.60
Alagoas;Negra;9.50
Alagoas;Todas as raças;8.60
Amapá;Branca;1.00
Amapá;Negra;5.60
Amapá;Todas as raças;5.30
Amazonas;Branca;1.80
Amazonas;Negra;5.10
Amazonas;Todas as raças;5.30
Bahia;Branca;2.50
Bahia;Negra;5.90
Bahia;Todas as raças;5.80
Ceará;Branca;2.30
Ceará;Negra;4.10
Ceará;Todas as raças;6.20
Distrito Federal;Branca;1.80
Distrito Federal;Negra;8.30
Distrito Federal;Todas as raças;5.60
Espírito Santo;Branca;4.50
Espírito Santo;Negra;11.10
Espírito Santo;Todas as raças;9.30
Goiás;Branca;4.90
Goiás;Negra;10.20
Goiás;Todas as raças;8.60
Maranhão;Branca;3.10
Maranhão;Negra;4.00
Maranhão;Todas as raças;3.80
Mato Grosso;Branca;5.00
Mato Grosso;Negra;5.90
Mato Grosso;Todas as raças;5.80
Mato Grosso do Sul;Branca;3.60
Mato Grosso do Sul;Negra;5.90
Mato Grosso do Sul;Todas as raças;5.90
Minas Gerais;Branca;3.10
Minas Gerais;Negra;4.60
Minas Gerais;Todas as raças;4.20
Pará;Branca;3.90
Pará;Negra;6.10
Pará;Todas as raças;5.80
Paraíba;Branca;1.60
Paraíba;Negra;8.20
Paraíba;Todas as raças;6.40
Paraná;Branca;5.60
Paraná;Negra;3.60
Paraná;Todas as raças;5.20
Pernambuco;Branca;1.50
Pernambuco;Negra;7.20
Pernambuco;Todas as raças;5.50
Piauí;Branca;2.40
Piauí;Negra;3.00
Piauí;Todas as raças;2.90
Rio de Janeiro;Branca;3.20
Rio de Janeiro;Negra;5.40
Rio de Janeiro;Todas as raças;4.50
Rio Grande do Norte;Branca;2.70
Rio Grande do Norte;Negra;5.80
Rio Grande do Norte;Todas as raças;5.30
Rio Grande do Sul;Branca;3.70
Rio Grande do Sul;Negra;3.10
Rio Grande do Sul;Todas as raças;3.80
Rondônia;Branca;6.40
Rondônia;Negra;5.00
Rondônia;Todas as raças;6.30
Roraima;Branca;0.00
Roraima;Negra;8.00
Roraima;Todas as raças;15.30
Santa Catarina;Branca;2.80
Santa Catarina;Negra;3.30
Santa Catarina;Todas as raças;3.10
São Paulo;Branca;2.70
São Paulo;Negra;2.70
São Paulo;Todas as raças;2.90
Sergipe;Branca;2.60
Sergipe;Negra;6.00
Sergipe;Todas as raças;5.10
Tocantins;Branca;3.80
Tocantins;Negra;5.50
Tocantins;Todas as raças;5.70
Todas as UFs;Branca;3.20
Todas as UFs;Negra;5.40
Todas as UFs;Todas as raças;4.80
