UF;Deputadas Estaduais Eleitas;Número de cadeiras;Proporção de mulheres
Acre;5;24;20.83
Alagoas;2;27;7.41
Amapá;8;24;33.33
Amazonas;1;24;4.17
Bahia;7;63;11.11
Ceará;7;46;15.22
Distrito Federal;5;24;20.83
Espírito Santo;4;30;13.33
Goiás;4;41;9.76
Maranhão;6;42;14.29
Mato Grosso;1;24;4.17
Mato Grosso do Sul;3;24;12.50
Minas Gerais;5;77;6.49
Pará;3;41;7.32
Paraíba;3;36;8.33
Paraná;3;54;5.56
Pernambuco;5;49;10.20
Piauí;3;30;10.00
Rio de Janeiro;8;70;11.43
Rio Grande do Norte;2;24;8.33
Rio Grande do Sul;7;55;12.73
Rondônia;3;24;12.50
Roraima;4;24;16.67
Santa Catarina;4;40;10.00
São Paulo;11;94;11.70
Sergipe;4;15;26.67
Tocantins;2;25;8.00
Todas as UFs;120;1051;11.42
